"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,135,9,13,0,42,93,73,365
Bedford,25,6,6,3,76,22,68,206
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,38,16,3,15,8,22,17,119
Bledsoe,65,0,5,0,9,15,42,136
Blount,132,8,0,124,62,116,90,532
Bradley,66,17,52,56,87,146,68,492
Campbell,144,43,12,0,49,30,44,322
Cannon,3,8,0,0,22,14,11,58
Carroll,42,20,0,1,46,28,14,151
Carter,25,16,0,42,87,114,63,347
Cheatham,25,1,0,6,21,26,37,116
Chester,27,0,0,3,10,31,7,78
Claiborne,87,21,0,0,29,49,31,217
Clay,4,2,0,0,2,3,2,13
Cocke Jail,5,14,0,0,32,10,14,75
Cocke Annex,1,17,2,0,29,26,41,116
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,58,35,0,0,44,77,116,330
Crockett,1,1,4,2,10,25,6,49
Cumberland,30,14,0,2,46,58,24,174
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson HDC,0,4,22,5,55,121,36,243
Davidson CDC,0,5,83,46,141,376,45,696
Davidson MCC,1,2,17,16,17,241,23,317
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),33,574,27,48,57,97,29,865
Decatur,8,7,0,0,5,20,7,47
DeKalb,2,2,0,0,16,15,37,72
Dickson,66,1,0,0,82,151,34,334
Dyer,31,5,0,0,13,91,35,175
Dyer Annex,38,4,0,0,3,0,0,45
Fayette,21,1,7,9,5,40,49,132
Fentress,37,9,0,4,49,35,42,176
Franklin,24,53,0,0,47,47,36,207
Gibson,98,6,0,0,62,84,43,293
Giles,23,26,0,0,40,67,19,175
Grainger Co. Det. Center,4,26,2,3,11,19,9,74
Greene Det. Center,17,10,0,15,25,93,30,190
Greene WH,27,7,0,0,103,38,15,190
Grundy,21,12,0,0,11,26,14,84
Hamblen,41,3,0,0,133,117,90,384
Hamilton Jail,2,0,27,101,9,281,93,513
Hamilton - Silverdale CCA,46,62,45,0,269,267,282,971
Hancock,59,28,0,0,12,10,3,112
Hardeman,14,8,2,0,5,38,7,74
Hardin,26,3,0,2,21,62,41,155
Hawkins,70,0,0,0,74,74,36,254
Haywood,0,29,0,14,11,57,13,124
Henderson,61,18,16,4,48,64,19,230
Henry,38,40,0,0,45,27,22,172
Hickman,8,0,1,0,25,52,0,86
Houston,13,1,14,0,3,1,7,39
Humphreys,10,6,0,0,24,40,17,97
Jackson,30,0,22,14,2,11,31,110
Jefferson,29,29,0,2,13,62,60,195
Jefferson WH,17,19,0,0,5,0,0,41
Johnson,31,16,2,0,8,28,30,115
Johnson City (F),76,0,0,0,0,0,0,76
Knox - KCJ,41,13,6,7,2,132,6,207
Knox - RDWDF,161,16,19,73,42,589,258,1158
Knox - KCWRC,9,0,1,8,6,39,30,93
Lake,12,0,0,0,5,12,8,37
Lauderdale,32,4,0,0,12,0,47,95
Lawrence,14,2,0,137,37,0,95,285
Lewis,0,1,1,2,4,17,26,51
Lincoln,21,14,3,0,36,46,21,141
Loudon,5,6,7,0,19,59,20,116
Macon,57,0,0,0,47,55,42,201
Madison Annex,11,1,0,0,13,9,18,52
Madison CJC,49,19,0,2,115,123,142,450
Madison PF,10,4,0,0,37,13,14,78
Marion,4,26,0,0,26,48,23,127
Marshall,43,8,0,0,52,43,10,156
Maury,37,42,0,0,83,105,34,301
McMinn,76,0,18,0,88,98,55,335
McNairy,21,0,0,2,16,17,28,84
Meigs,12,4,0,0,5,42,17,80
Monroe,56,16,2,4,59,72,57,266
Montgomery,54,11,0,9,85,310,81,550
Montgomery Workhouse,12,5,0,0,36,0,0,53
Moore,6,9,2,0,2,8,1,28
Morgan,7,0,0,0,19,7,39,72
Obion,30,4,4,68,6,21,28,161
Overton,55,3,2,0,21,12,50,143
Perry,25,0,0,3,0,18,8,54
Pickett,0,0,0,0,0,0,0,0
Polk,103,1,0,0,6,58,6,174
Putnam,113,27,9,0,130,87,44,410
Rhea,13,13,0,0,10,28,34,98
Roane,26,18,0,0,53,47,89,233
Robertson,214,16,0,0,95,121,61,507
Rutherford,207,36,0,0,72,459,85,859
Rutherford Work Center,0,112,0,0,51,0,0,163
Scott,68,0,0,0,10,62,38,178
Sequatchie,19,8,0,0,7,37,24,95
Sevier Jail,25,14,0,0,13,106,48,206
Sevier Annex,47,30,0,0,49,139,114,379
Shelby CJC,52,10,260,76,9,2096,147,2650
Shelby SCCC,416,1310,0,0,202,0,0,1928
Smith,51,5,0,0,33,26,12,127
Stewart,41,0,0,0,11,37,8,97
Sullivan,91,27,0,0,65,352,91,626
Sullivan Extension,28,13,0,0,61,104,69,275
Kingsport City,0,0,0,0,0,3,4,7
Sumner,129,79,0,0,165,341,73,787
Tipton,3,13,0,0,69,76,51,212
Trousdale,22,0,0,0,12,10,10,54
Unicoi Jail (M),22,0,1,1,4,24,18,70
Unicoi Annex (F),23,0,0,1,2,11,8,45
Union,4,1,11,0,5,19,59,99
Van Buren,0,13,0,8,25,10,9,65
Warren,20,32,9,0,87,23,70,241
"Washington Det, Center",67,24,6,55,187,185,97,621
Washington WH,17,1,4,0,21,0,0,43
Wayne,62,4,6,6,11,38,11,138
Weakley,30,13,0,0,16,21,23,103
White,10,4,10,0,77,53,48,202
Williamson,22,6,3,0,115,109,72,327
Wilson,78,16,13,3,117,110,169,506
