"",,,Other,Fed
"",TDOC,Local,Conv.,&
FACILITY,Backup,Felons,Felons***,Oth
Anderson,61,6,15,
Bedford,6,6,3,
Bedford Workhouse (closed),0,0,0,
Benton,13,4,2,
Bledsoe,75,0,0,
Blount,47,6,0,
Bradley,29,12,11,
Campbell,97,11,7,
Cannon,4,10,0,
Carroll,20,18,0,
Carter,10,7,1,
Cheatham,3,2,0,
Chester,24,3,0,
Claiborne,41,29,0,
Clay,4,2,0,
Cocke Jail,2,9,0,
Cocke Annex,3,15,0,
Coffee Annex (not in use),0,0,0,
Coffee,25,5,0,
Crockett,0,8,0,
Cumberland,14,8,0,
Davidson CJC (demolished),0,0,0,
Davidson DDC,0,62,39,
Davidson HDC (closed),0,0,0,
Davidson CDM,0,58,55,
Davidson CDF,0,24,12,
Davidson MCC,5,179,13,
Davidson ORC (closed),0,0,0,
Davidson CCA (MDF),0,0,0,
Decatur,9,5,0,
DeKalb,7,0,0,
Dickson,16,2,0,
Dyer,28,8,0,
Dyer Annex,21,3,0,
Fayette,0,7,2,
Fentress,0,23,3,
Franklin,22,21,0,
Gibson,82,1,0,
Giles,6,19,0,
Grainger Co. Det. Center,4,15,7,
Greene Det. Center,13,3,0,
Greene WH,8,0,0,
Grundy,16,0,0,
Hamblen,30,4,0,
Hamilton Jail,0,0,0,
Hamilton - Silverdale CCA,0,0,76,
Hancock,42,17,0,
Hardeman,10,11,4,
Hardin,48,8,0,0,8,36,14,114
Hawkins,34,0,0,0,68,66,24,192
Haywood,0,23,0,1,5,44,4,77
Henderson,53,6,7,5,40,63,17,191
Henry,26,34,0,0,16,73,17,166
Hickman,3,0,5,0,8,37,0,53
Houston,7,0,2,0,1,5,10,25
Humphreys,4,12,0,0,11,49,6,82
Jackson,18,0,18,5,1,24,38,104
Jefferson,12,26,0,1,18,45,42,144
Jefferson WH,9,6,0,0,3,0,0,18
Johnson,19,3,3,0,6,24,15,70
Johnson City (F),50,0,0,0,0,0,0,50
Knox - KCJ,7,5,0,17,4,135,9,177
Knox - RDWDF,20,10,1,67,30,341,107,576
Knox - KCWRC,1,0,0,0,7,55,8,71
Lake,5,0,0,0,13,14,4,36
Lauderdale,19,4,0,0,4,0,53,80
Lawrence,19,1,0,103,34,0,11,168
Lewis,0,0,5,1,3,20,12,41
Lincoln,6,10,0,0,19,45,31,111
Loudon,0,6,4,1,28,90,12,141
Macon,36,0,0,0,26,58,43,163
Madison Annex,2,1,0,0,11,7,10,31
Madison CJC,30,9,0,1,42,121,78,281
Madison PF,4,8,0,0,13,19,21,65
Marion,5,9,0,0,13,54,20,101
Marshall,26,3,0,0,36,39,9,113
Maury,18,24,0,0,82,100,25,249
McMinn,28,0,15,0,53,119,25,240
McNairy,13,0,0,0,13,25,31,82
Meigs,10,2,0,0,0,34,18,64
Monroe,48,11,2,3,35,98,40,237
Montgomery Jail,5,9,0,8,62,244,60,388
Montgomery Workhouse,3,5,0,4,9,2,0,23
Moore,0,15,0,0,7,2,1,25
Morgan,3,0,0,0,35,11,18,67
Obion,26,0,1,58,9,8,19,121
Overton,61,2,2,1,19,19,25,129
Perry,14,2,1,0,4,25,8,54
Pickett (closed),0,0,0,0,0,0,0,0
Polk,91,2,0,0,8,35,6,142
Putnam,71,10,16,0,47,69,50,263
Rhea,44,2,2,0,37,80,36,201
Roane,12,15,16,3,19,41,32,138
Robertson,41,13,0,0,48,122,45,269
Rutherford,25,20,0,0,39,414,51,549
Rutherford Work Center,0,77,0,0,26,0,0,103
Scott,64,0,0,0,13,39,23,139
Sequatchie,19,11,0,0,9,43,14,96
Sevier Jail,16,14,0,0,10,72,14,126
Sevier Annex,9,26,0,0,44,96,38,213
Shelby CJC,11,17,279,35,9,1862,62,2275
Shelby SCCC,162,861,0,0,74,0,0,1097
Smith,36,4,0,0,5,14,23,82
Stewart,19,0,0,0,10,22,9,60
Sullivan,15,30,0,0,48,303,60,456
Sullivan Extension,6,7,0,0,30,96,44,183
Kingsport City,0,0,0,0,0,0,2,2
Sumner,32,45,0,0,85,264,52,478
Tipton,11,16,0,0,61,49,37,174
Trousdale,5,4,0,0,5,6,7,27
Unicoi Jail (M),25,0,4,0,8,14,8,59
Unicoi Annex (F),14,0,1,1,0,8,2,26
Union,2,0,3,0,3,7,46,61
Van Buren,0,12,0,0,15,11,10,48
Warren,20,21,11,0,24,45,58,179
"Washington Det, Center",58,9,5,66,114,168,60,480
Washington WH,11,0,0,0,4,0,0,15
Wayne,37,0,1,10,9,38,12,107
Weakley,20,12,0,0,7,10,17,66
White,3,9,4,0,44,16,29,105
Williamson,13,7,2,0,73,89,36,220
Wilson,38,22,2,9,98,190,69,428
