"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,106,5,19,0,18,103,110,361
Bedford,6,4,7,2,32,13,120,184
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,19,3,3,3,3,20,18,69
Bledsoe,59,0,0,0,2,41,6,108
Blount,80,5,0,113,65,125,81,469
Bradley,44,12,24,46,47,136,35,344
Campbell,128,13,7,0,19,21,10,198
Cannon,5,11,0,0,3,2,16,37
Carroll,25,12,0,2,15,20,4,78
Carter,33,13,0,25,64,87,5,227
Cheatham,10,2,0,4,9,34,28,87
Chester,27,8,0,0,3,15,11,64
Claiborne,48,15,0,0,31,56,33,183
Clay,1,1,0,0,0,2,11,15
Cocke Jail,3,6,0,0,4,22,17,52
Cocke Annex,0,9,1,0,7,8,22,47
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,34,2,0,0,10,38,144,228
Crockett,0,1,3,0,4,24,10,42
Cumberland,24,12,0,2,23,42,26,129
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,3,24,44,67,28,369,34,569
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,0,25,55,1,51,340,26,498
Davidson CDF,1,23,12,2,13,70,17,138
Davidson MCC,14,233,7,19,1,22,0,296
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),0,27,1,1,0,0,0,29
Decatur,9,8,0,0,4,22,3,46
DeKalb,7,0,0,0,1,5,19,32
Dickson,56,1,0,0,29,107,19,212
Dyer,24,6,0,0,6,67,21,124
Dyer Annex,29,1,0,0,1,0,0,31
Fayette,12,1,1,23,0,10,37,84
Fentress,35,0,4,5,38,29,34,145
Franklin,25,15,0,0,38,67,20,165
Gibson,80,1,0,0,41,75,52,249
Giles,7,16,0,0,15,33,16,87
Grainger Co. Det. Center,6,21,4,5,11,24,7,78
Greene Det. Center,13,4,0,4,31,94,37,183
Greene WH,5,2,0,0,68,27,12,114
Grundy,17,3,0,0,5,24,10,59
Hamblen,31,8,0,0,74,90,64,267
Hamilton Jail,0,0,0,3,1,19,32,55
Hamilton - Silverdale CCA,2,1,65,160,44,503,301,1076
Hancock,56,19,0,0,17,4,0,96
Hardeman,9,10,4,0,5,47,7,82
Hardin,32,8,0,1,3,41,27,112
Hawkins,51,0,0,0,64,83,18,216
Haywood,0,21,0,11,11,38,11,92
Henderson,69,7,12,4,32,55,18,197
Henry,22,18,0,0,18,70,20,148
Hickman,8,0,10,0,18,45,0,81
Houston,6,0,4,0,1,5,3,19
Humphreys,6,8,0,0,10,54,8,86
Jackson,20,0,20,4,1,19,33,97
Jefferson,16,21,0,0,7,33,57,134
Jefferson WH,10,5,0,0,10,0,0,25
Johnson,26,4,2,0,6,23,8,69
Johnson City (F),58,0,0,0,0,0,0,58
Knox - KCJ,21,3,7,9,7,145,5,197
Knox - RDWDF,51,11,25,65,21,369,128,670
Knox - KCWRC,16,2,5,2,5,67,9,106
Lake,7,0,0,0,3,18,4,32
Lauderdale,26,2,0,0,8,0,41,77
