"",,,Other Federal,,,Pre-   Pre-,,Total
"",TDOC,Local,Conv. &,,Conv.,trial trial,,Jail
FACILITY,Backup Felons Felons** Others,,,,Misd. Felony Misd.,,,Pop.
Anderson,85,14,9 0,,40,143 60,,351
Bedford,27,4,6 2,,22,23 29,,113
Bedford Workhouse,6,8,0 0,,49,1 0,,64
Benton,26,4,0 0,,7,8 2,,47
Bledsoe,36,0,14 0,,5,14 12,,81
Blount,61,50,0 86,,58,135 69,,459
Bradley,160,17,47 65,,40,100 24,,453
Campbell,48,9,7 0,,10,79 25,,178
Cannon,2,3,0 0,,27,15 22,,69
Carroll,37,3,0 2,,30,22 22,,116
Carter,39,12,0 0,,64,100 43,,258
Cheatham,19,6,0 1,,22,32 9,,89
Chester,28,4,0 0,,8,23 3,,66
Claiborne,75,39,0 49,,8,51 11,,233
Clay,7,4,0 0,,3,4 5,,23
Cocke Jail,7,5,0 0,,19,16 11,,58
Cocke Annex,10,8,0 0,,26,32 15,,91
Coffee,28,17,0 0,,78,11 121,,255
Crockett,35,5,0 0,,6,13 6,,65
Cumberland,94,13,0 2,,66,38 28,,241
Davidson CJC,3,2,53 73,,65,351 65,,612
Davidson HDC,6,2,70 5,,86,294 31,,494
Davidson CWC (CDC-M),0,17,75 0,,290,204 59,,645
Davidson CDC (F),3,12,43 6,,105,117 29,,315
Davidson CCA,0,1116,0 0,,0,0 0,,1116
Decatur,27,1,1 0,,11,5 10,,55
DeKalb,9,2,1 1,,33,14 43,,103
Dickson,102,9,0 1,,54,75 52,,293
Dyer,74,20,0 0,,23,72 12,,201
Fayette,32,5,0 2,,5,26 11,,81
Fentress,1,3,0 2,,11,10 4,,31
Franklin,21,47,0 0,,39,33 15,,155
Gibson,88,3,0 0,,33,51 31,,206
Giles,27,20,0 0,,30,37 17,,131
Grainger Co. Det. Center,49,11,0 0,,6,22 9,,97
Greene Det. Center,33,8,0 1,,11,126 34,,213
Greene WH,19,8,0 0,,114,5 2,,148
Grundy,3,0,0 0,,1,14 38,,56
Hamblen,62,45,0 1,,79,62 44,,293
Hamilton Jail,1,0,41 64,,15,302 110,,533
Hamilton - Silverdale CCA,0,0,15 89,,274,0 523,,901
Hancock,0,32,27 0,,20,5 11,,95
Hardeman,36,8,16 0,,14,52 13,,139
Hardin,44,3,0 0,,27,48 9,,131
Hawkins,117,2,0,0,56,52,13,240
Haywood,0,52,0,0,17,47,11,127
Henderson,64,0,67,2,10,22,24,189
Henry,74,9,0,0,24,54,19,180
Hickman,4,44,12,0,17,25,9,111
Houston,4,8,5,0,5,6,0,28
Humphreys,6,1,0,1,12,26,10,56
Jackson,64,0,0,7,18,6,15,110
Jefferson,36,8,0,0,35,70,73,222
Jefferson WH,29,5,0,0,3,0,0,37
Johnson,58,16,6,2,6,36,16,140
Johnson City (F),0,87,0,0,0,0,0,87
Knox - KCJ,6,0,1,30,27,63,43,170
Knox - KCDF,50,28,1,71,74,443,159,826
Knox - KCWRC,1,2,0,10,18,26,18,75
Lake,7,26,0,2,3,13,2,53
Lauderdale,49,12,0,0,5,0,63,129
Lawrence,50,6,2,1,31,97,44,231
Lewis,12,2,1,0,16,14,20,65
Lincoln,43,2,2,0,31,44,7,129
Loudon,5,2,2,0,40,63,38,150
Macon,84,0,0,0,19,26,19,148
Madison Annex,8,0,0,0,17,21,9,55
Madison CJC,29,18,0,6,54,117,84,308
Madison PF,5,9,0,0,41,17,15,87
Marion,16,11,0,0,30,45,17,119
Marshall,91,16,0,0,31,27,5,170
Maury,90,20,0,0,89,108,38,345
McMinn,111,4,0,0,32,85,75,307
McNairy,29,0,0,3,0,28,20,80
Meigs,17,0,0,7,15,21,13,73
Monroe,31,10,0,0,35,79,19,174
Montgomery,150,9,0,0,77,209,52,497
Montgomery Workhouse,0,8,0,0,54,0,0,62
Moore,6,4,0,0,2,2,4,18
Morgan,1,0,0,0,29,18,16,64
Obion,44,5,4,51,11,27,21,163
Overton,52,14,0,0,20,26,24,136
Perry,28,1,0,0,4,9,2,44
Pickett,0,0,4,0,0,4,2,10
Polk,82,8,0,1,19,23,8,141
Putnam,33,20,0,0,72,48,31,204
Rhea,11,21,0,1,0,62,54,149
Roane,13,0,2,0,76,38,53,182
Robertson,205,24,0,0,90,140,21,480
Rutherford,200,37,0,0,198,221,138,794
Rutherford Work Center,0,14,0,0,141,0,0,155
Scott,89,11,0,0,8,34,43,185
Sequatchie,42,6,0,0,12,42,9,111
Sevier Jail,76,23,0,0,38,110,69,316
Sevier Annex,47,21,0,0,35,66,52,221
Shelby CJC,17,10,42,65,14,2066,186,2400
Shelby SCCC,114,1894,0,0,329,0,0,2337
Smith,51,5,15,0,14,29,7,121
Stewart,3,0,0,0,2,9,3,17
Sullivan,92,37,0,0,150,264,91,634
Kingsport City,0,0,0,0,0,0,2,2
Sumner,111,91,0,0,143,247,60,652
Tipton,8,14,0,0,36,50,51,159
Trousdale,17,4,0,0,5,10,5,41
Unicoi Jail,25,4,0,2,4,18,6,59
Unicoi Annex,31,0,2,0,1,3,0,37
Union,17,2,0,13,8,21,26,87
Van Buren,2,2,0,5,6,0,12,27
Warren,31,20,0,0,110,57,33,251
"Washington Det, Center",114,12,23,72,92,190,45,548
Washington WH,12,2,1,0,28,1,6,50
Wayne,59,7,0,0,20,9,11,106
Weakley,52,4,0,0,12,25,11,104
White,72,11,4,6,56,36,12,197
Williamson,104,11,0,0,89,86,36,326
Wilson,89,12,20,1,77,100,41,340
