"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,14,3,0,0,9,0,58,84
Lawrence,12,1,0,76,24,1,50,164
Lewis,1,1,3,2,2,28,16,53
Lincoln,7,12,4,0,31,37,22,113
Loudon,5,10,7,3,23,66,33,147
Macon,49,0,0,0,26,62,15,152
Madison Annex,11,1,0,0,4,14,9,39
Madison CJC,104,14,0,3,68,131,97,417
Madison PF,12,7,0,0,12,17,16,64
Marion,5,11,0,0,20,59,15,110
Marshall,29,6,0,0,29,38,2,104
Maury,28,24,0,0,70,119,26,267
McMinn,29,0,9,0,40,126,51,255
McNairy,25,0,0,0,9,26,21,81
Meigs,9,1,0,0,0,26,22,58
Monroe,59,15,6,15,56,115,43,309
Montgomery Jail,18,9,0,5,69,270,61,432
Montgomery Workhouse,1,4,0,0,2,9,0,16
Moore,0,3,0,0,7,6,4,20
Morgan,3,0,0,0,14,15,26,58
Obion,30,8,4,63,7,16,16,144
Overton,36,1,3,0,32,21,39,132
Perry,19,0,4,0,2,15,11,51
Pickett (closed),0,0,0,0,0,0,0,0
Polk,82,0,2,2,9,33,12,140
Putnam,112,18,14,0,49,11,24,228
Rhea,53,25,0,2,39,114,59,292
Roane,18,6,23,2,20,85,40,194
Robertson,100,13,0,0,54,121,48,336
Rutherford,67,22,0,0,57,452,60,658
Rutherford Work Center,0,56,0,0,41,0,0,97
Scott,58,0,0,0,11,59,28,156
Sequatchie,26,8,0,0,8,35,12,89
Sevier Jail,22,9,0,0,5,69,30,135
Sevier Annex,13,11,0,0,24,99,77,224
Shelby CJC,76,851,0,0,66,0,0,993
Shelby SCCC,27,12,318,61,12,2091,122,2643
Smith,32,3,0,0,29,32,20,116
Stewart,10,0,0,0,8,24,7,49
Sullivan,67,32,0,0,62,414,65,640
Sullivan Extension,23,17,0,0,47,144,49,280
Kingsport City,0,0,0,0,0,2,0,2
Sumner,42,44,0,0,127,364,52,629
Tipton,14,18,0,0,48,89,53,222
Trousdale,8,1,0,0,9,6,5,29
Unicoi Jail (M),17,2,0,0,4,31,16,70
Unicoi Annex (F),14,2,0,0,2,2,3,23
Union,0,2,3,1,2,7,62,77
Van Buren,0,7,0,0,12,19,10,48
Warren,31,22,22,0,31,46,57,209
"Washington Det, Center",81,9,12,87,128,166,93,576
Washington WH,20,0,0,0,19,1,0,40
Wayne,61,0,6,9,15,45,7,143
Weakley,30,10,0,0,14,18,13,85
White,15,7,4,0,43,23,19,111
Williamson,20,7,3,0,77,88,49,244
Wilson,53,22,6,4,114,164,101,464
