"",,,Other Federal,,,Pre-   Pre-,,Total
"",TDOC,Local,Conv. &,,Conv.,trial trial,,Jail
FACILITY,Backup Felons Felons** Others,,,,Misd. Felony Misd.,,,Pop.
Anderson,100,16,8 0,,26,134 58,,342
Bedford,35,3,12 1,,22,15 47,,135
Bedford Workhouse,10,2,0 0,,48,0 1,,61
Benton,26,8,0 0,,15,15 5,,69
Bledsoe,56,8,0 0,,5,13 6,,88
Blount,77,35,0 103,,63,136 66,,480
Bradley,94,17,60 82,,46,96 30,,425
Campbell,29,13,4 0,,6,79 13,,144
Cannon,2,6,0 1,,15,12 13,,49
Carroll,38,1,0 29,,41,12 19,,140
Carter,82,16,0 0,,53,74 32,,257
Cheatham,20,4,0 1,,24,28 13,,90
Chester,25,5,0 0,,8,15 6,,59
Claiborne,39,44,0 36,,41,60 39,,259
Clay,9,1,0 0,,2,2 5,,19
Cocke Jail,6,9,0 0,,12,14 10,,51
Cocke Annex,9,17,0 0,,5,30 21,,82
Coffee,23,28,0 0,,88,28 125,,292
Crockett,16,2,0 0,,7,7 6,,38
Cumberland,65,12,0 2,,68,59 21,,227
Davidson CJC,8,5,40 36,,81,358 73,,601
Davidson HDC,10,7,52 16,,73,317 12,,487
Davidson CWC (CDC-M),0,24,53 10,,247,159 56,,549
Davidson CDC (F),0,15,31 5,,97,116 41,,305
Davidson CCA,0,990,0 0,,0,0 0,,990
Decatur,10,0,0 0,,11,3 12,,36
DeKalb,3,1,2 0,,16,11 37,,70
Dickson,63,6,0 2,,52,58 49,,230
Dyer,86,18,0 0,,24,53 17,,198
Fayette,59,23,6 6,,14,42 33,,183
Fentress,1,5,0 0,,18,22 7,,53
Franklin,19,35,0 0,,28,43 21,,146
Gibson,103,0,0 0,,32,57 32,,224
Giles,9,22,0 0,,39,42 19,,131
Grainger Co. Det. Center,5,9,0 0,,8,21 17,,60
Greene Det. Center,22,1,0 1,,21,119 62,,226
Greene WH,26,5,0 0,,96,5 7,,139
Grundy,0,0,1 0,,4,17 6,,28
Hamblen,89,34,0 4,,100,57 45,,329
Hamilton Jail,0,0,31 58,,17,308 139,,553
Hamilton - Silverdale CCA,0,0,31 80,,297,0 599,,1007
Hancock,0,29,35 0,,14,12 10,,100
Hardeman,25,13,6 0,,8,65 5,,122
Hardin,26,1,1 1,,13,36 38,,116
Hawkins,125,1,0 0,,37,60 14,,237
Haywood,0,62,4,0,23,51,9,149
Henderson,77,7,16,1,48,30,16,195
Henry,56,11,0,0,34,51,6,158
Hickman,44,17,0,0,15,30,9,115
Houston,4,0,8,0,6,13,2,33
Humphreys,9,2,0,4,3,20,14,52
Jackson,60,0,6,12,8,2,9,97
Jefferson,60,7,0,0,22,72,58,219
Jefferson WH,35,4,0,0,7,2,1,49
Johnson,47,14,6,1,1,36,15,120
Johnson City (F),0,82,0,0,0,0,0,82
Knox - KCJ,12,1,0,37,16,75,28,169
Knox - RDWDF,33,16,2,76,58,531,227,943
Knox - KCWRC,0,2,0,7,18,23,12,62
Lake,6,22,0,0,4,16,0,48
Lauderdale,37,16,0,0,5,0,80,138
Lawrence,50,2,0,0,10,102,57,221
Lewis,14,3,0,0,15,10,8,50
Lincoln,37,7,4,0,46,26,15,135
Loudon,8,8,0,0,34,50,27,127
Macon,61,0,0,0,24,28,15,128
Madison Annex,3,4,0,0,20,22,10,59
Madison CJC,28,14,0,6,83,106,110,347
Madison PF,5,10,0,0,43,13,17,88
Marion,23,15,0,0,21,39,41,139
Marshall,73,17,0,0,36,32,3,161
Maury,71,40,0,0,97,96,30,334
McMinn,131,6,0,0,39,98,65,339
McNairy,35,0,0,1,2,21,16,75
Meigs,12,0,0,0,20,7,29,68
Monroe,47,6,0,0,50,66,20,189
Montgomery,76,7,1,0,115,206,58,463
Montgomery Workhouse,0,8,0,0,58,0,0,66
Moore,1,4,3,0,5,3,0,16
Morgan,5,0,7,0,23,7,20,62
Obion,34,8,4,61,10,29,22,168
Overton,43,10,0,0,31,31,45,160
Perry,24,0,0,0,10,11,3,48
Pickett,0,0,0,0,1,5,6,12
Polk,83,8,0,0,12,30,3,136
Putnam,38,13,0,0,60,46,42,199
Rhea,11,21,0,0,6,51,74,163
Roane,14,0,0,0,65,25,61,165
Robertson,224,11,0,0,73,118,32,458
Rutherford,197,44,0,0,208,251,141,841
Rutherford Work Center,0,1,0,0,180,0,0,181
Scott,55,4,0,0,12,25,23,119
Sequatchie,38,7,0,0,9,17,11,82
Sevier Jail,82,25,0,0,37,104,61,309
Sevier Annex,73,20,0,0,44,48,39,224
Shelby CJC,8,8,36,52,12,2090,161,2367
Shelby SCCC,150,1771,0,0,284,0,0,2205
Smith,63,3,16,0,10,28,0,120
Stewart,3,1,0,0,4,13,3,24
Sullivan,93,25,0,0,43,214,46,421
Sullivan Extension,21,23,0,0,84,73,27,228
Kingsport City,0,0,0,0,0,2,1,3
Sumner,66,78,0,0,144,278,61,627
Tipton,15,4,0,0,20,48,48,135
Trousdale,18,3,0,0,4,6,1,32
Unicoi Jail,30,0,0,2,4,16,7,59
Unicoi Annex,30,0,1,0,0,6,1,38
Union,21,4,0,12,22,13,11,83
Van Buren,9,8,0,2,15,10,11,55
Warren,24,24,0,0,132,82,28,290
"Washington Det, Center",108,13,14,63,114,147,65,524
Washington WH,19,2,0,0,22,2,1,46
Wayne,45,15,0,0,14,21,20,115
Weakley,40,7,0,0,20,24,10,101
White,81,5,0,5,57,49,13,210
Williamson,42,9,0,0,149,134,45,379
Wilson,53,14,11,0,81,112,61,332
