"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,20,0,0,92,36,0,33,181
Lewis,0,1,5,0,5,16,15,42
Lincoln,6,8,0,0,19,35,27,95
Loudon,7,6,6,0,21,78,23,141
Macon,35,0,0,0,26,68,49,178
Madison Annex,5,2,0,0,6,11,6,30
Madison CJC,51,16,0,2,66,155,89,379
Madison PF,4,2,0,0,10,11,6,33
Marion,4,12,0,0,23,62,14,115
Marshall,22,4,0,0,47,37,8,118
Maury,25,26,0,0,75,96,30,252
McMinn,31,0,16,0,51,114,43,255
McNairy,20,0,0,0,11,25,35,91
Meigs,10,2,0,0,0,38,19,69
Monroe,48,13,3,2,41,118,51,276
Montgomery Jail,4,9,0,6,48,232,69,368
Montgomery Workhouse,1,5,0,5,17,1,0,29
Moore,0,11,0,0,7,2,4,24
Morgan,2,0,0,0,41,11,21,75
Obion,22,2,8,60,5,13,19,129
Overton,55,2,3,0,17,19,40,136
Perry,16,0,0,0,5,24,15,60
Pickett (closed),0,0,0,0,0,0,0,0
Polk,81,6,0,2,6,34,12,141
Putnam,65,21,11,0,46,60,63,266
Rhea,42,10,4,4,33,73,46,212
Roane,11,8,19,6,20,53,54,171
Robertson,28,15,0,0,55,124,42,264
Rutherford,53,25,0,0,41,410,54,583
Rutherford Work Center,0,66,0,0,30,0,0,96
Scott,75,0,0,0,7,47,28,157
Sequatchie,18,9,0,0,8,60,21,116
Sevier Jail,19,14,0,0,11,83,27,154
Sevier Annex,10,26,0,0,35,75,65,211
Shelby CJC,31,15,265,63,9,1871,121,2375
Shelby SCCC,135,755,0,0,80,0,0,970
Smith,34,3,0,0,16,23,19,95
Stewart,24,0,0,0,12,24,7,67
Sullivan,26,45,0,0,62,291,56,480
Sullivan Extension,7,13,0,0,38,94,53,205
Kingsport City,0,0,0,0,0,1,3,4
Sumner,33,43,0,0,88,278,49,491
Tipton,7,14,0,0,56,56,35,168
Trousdale,4,4,0,0,5,8,5,26
Unicoi Jail (M),21,0,3,0,3,17,16,60
Unicoi Annex (F),15,0,0,0,1,10,4,30
Union,1,0,2,0,1,4,49,57
Van Buren,0,11,0,0,18,11,18,58
Warren,18,23,10,0,30,57,53,191
"Washington Det, Center",60,5,7,75,118,171,79,515
Washington WH,10,0,0,0,5,0,0,15
Wayne,45,0,2,17,19,31,9,123
Weakley,16,13,0,0,8,13,21,71
White,6,11,10,0,58,33,22,140
Williamson,10,6,0,0,85,90,47,238
Wilson,46,23,2,4,104,172,88,439
