"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,103,11,13,0,24,113,120,384
Bedford,9,3,5,2,60,15,84,178
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,19,2,3,1,5,27,22,79
Bledsoe,61,2,0,0,8,58,14,143
Blount,83,3,0,128,32,128,70,444
Bradley,52,11,32,43,78,122,54,392
Campbell,150,18,8,0,21,20,15,232
Cannon,9,9,0,0,9,11,18,56
Carroll,34,13,0,2,14,20,6,89
Carter,9,10,1,44,107,82,44,297
Cheatham,9,2,0,1,14,34,25,85
Chester,30,7,0,1,13,23,5,79
Claiborne,58,8,0,0,22,37,49,174
Clay,3,2,0,0,0,2,10,17
Cocke Jail,8,4,0,0,6,9,26,53
Cocke Annex,17,25,0,1,6,36,23,108
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,27,4,0,0,20,52,168,271
Crockett,0,0,4,0,3,18,5,30
Cumberland,18,5,0,4,37,65,23,152
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,4,3,55,74,31,347,44,558
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,2,22,54,2,51,365,20,516
Davidson CDF,0,28,14,2,17,88,13,162
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),17,311,5,22,0,1,0,356
Decatur,10,7,0,0,6,26,8,57
DeKalb,7,1,0,0,2,13,20,43
Dickson,42,2,0,0,42,149,28,263
Dyer,27,6,0,0,9,69,26,137
Dyer Annex,33,2,0,0,2,0,0,37
Fayette,12,0,2,20,1,22,45,102
Fentress,0,35,4,4,38,39,39,159
Franklin,13,19,0,0,47,65,13,157
Gibson,80,0,0,0,48,68,73,269
Giles,6,13,0,0,21,52,16,108
Grainger Co. Det. Center,8,14,5,3,10,30,14,84
Greene Det. Center,20,4,0,7,29,109,29,198
Greene WH,9,3,0,0,70,38,7,127
Grundy,14,9,0,0,9,30,12,74
Hamblen,44,8,0,0,88,85,65,290
Hamilton Jail,0,0,17,116,11,204,153,501
Hamilton - Silverdale CCA,0,0,42,81,33,364,263,783
Hancock,66,16,0,0,11,1,15,109
Hardeman,15,9,3,0,10,37,15,89
Hardin,24,3,0,1,4,47,19,98,156
Hawkins,47,0,0,0,60,72,23,202,266
Haywood,0,20,0,8,7,53,14,102,194
Henderson,64,4,11,4,47,54,19,203,216
Henry,38,28,0,0,17,43,18,144,204
Hickman,5,0,5,0,19,59,0,88,110
Houston,6,0,15,2,3,0,3,29,35
Humphreys,8,5,0,0,13,62,17,105,68
Jackson,26,0,19,5,1,14,29,94,112
Jefferson,17,17,0,1,8,55,50,148,188
Jefferson WH,13,15,0,0,5,0,0,33,49
Johnson,23,11,1,0,14,20,17,86,114
Johnson City (F),0,0,0,0,0,0,0,0,88
Knox - KCJ,32,3,5,13,8,125,10,196,215
Knox - RDWDF,92,16,15,65,22,403,188,801,1036
Knox - KCWRC,21,4,2,3,7,53,15,105,120
