"",,,Other,,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
Anderson,21,0,0,0,41,47,46,155
Bedford,29,6,3,1,76,17,32,164
Benton,18,3,4,0,17,20,13,75
Bledsoe,2,2,3,3,5,4,1,20
Blount,52,31,0,128,38,45,29,323
Bradley,14,13,34,16,17,56,56,206
Campbell,12,6,20,0,6,29,20,93
Cannon,11,0,16,2,21,0,5,55
Carroll,12,10,1,0,21,22,18,84
Carter,9,16,7,2,77,72,9,192
Cheatham,10,7,4,0,45,18,13,97
Chester,1,1,0,0,1,1,4,8
Claiborne,4,1,0,0,4,27,6,42
Clay,7,6,1,0,0,0,0,14
Cocke,15,0,1,0,58,8,13,95
Coffee,21,16,1,1,73,20,53,185
Crockett,4,0,19,0,12,27,6,68
Cumberland,10,6,0,0,56,20,18,110
Davidson CJC,6,12,6,18,104,509,53,708
Davidson HD1,1,89,2,10,65,314,15,496
Davidson CWC,0,105,0,45,304,158,17,629
Davidson CCA,0,1021,0,0,33,238,0,1292
Decatur,4,5,3,0,6,3,0,21
DeKalb,20,0,0,0,23,21,10,74
Dickson,40,9,3,0,80,43,10,185
Dyer,49,16,7,0,33,26,7,138
Fayette,13,6,0,1,38,30,9,97
Fentress,7,13,0,1,1,6,4,32
Franklin,7,17,2,2,29,26,0,83
Gibson,9,10,0,0,78,32,39,168
Giles,3,4,5,1,12,20,14,59
Grainger,1,1,0,0,7,14,3,26
Greene,30,47,0,61,81,31,20,270
Grundy,3,9,0,0,7,8,4,31
Hamblen,12,46,1,3,56,46,28,192
Hamilton Jail,39,0,0,208,50,283,84,664
Silverdale CCA,35,15,0,84,310,3,120,567
Hancock,42,47,0,0,7,2,11,109
Hardeman,9,5,0,0,14,21,34,83
Hardin,6,2,1,1,22,37,7,76
Hawkins,10,0,0,0,24,27,3,64
Haywood,6,1,3,0,37,25,21,93
Henderson,9,4,11,0,4,27,8,63
Henry,16,17,2,0,36,20,17,108
Hickman,2,29,1,0,12,10,3,57
Houston,13,0,0,0,8,1,6,28
Humphreys,2,9,2,0,3,25,12,53
Jackson,9,1,18,0,2,4,13,47
Jefferson,34,8,0,0,16,23,21,102
Johnson,4,5,0,0,9,23,7,48
Knox-All Facilities,29,12,9,76,177,417,198,918
Lake,26,0,0,0,8,13,0,47
Lauderdale,5,73,0,0,28,27,7,140
Lawrence,9,3,0,4,6,6,22,50
Lewis,23,0,0,0,14,1,1,39
"",,,Other,,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail
ACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
incoln,33,0,0,0,39,13,16,101
oudon,3,3,4,1,36,30,24,101
acon,59,0,0,0,19,20,18,116
adison,19,10,12,2,62,116,70,291
adison PF,0,10,0,0,67,4,8,89
arion,7,0,20,0,16,34,24,101
arshall,17,0,0,0,27,41,7,92
aury,4,19,6,0,62,30,18,139
cMinn,39,0,7,0,23,35,31,135
cNairy,23,0,2,0,2,24,24,75
eigs,4,0,0,0,8,8,6,26
onroe,17,0,5,22,27,19,3,93
ontgomery,18,8,7,0,92,138,39,302
oore,7,0,1,0,4,2,1,15
organ,0,1,4,0,6,2,17,30
bion,26,18,10,0,19,27,5,105
verton,53,7,24,0,3,12,17,116
erry,8,2,0,0,5,13,2,30
ickett,1,0,0,0,0,0,0,1
olk,7,5,0,0,16,13,11,52
utnam,29,9,0,0,83,49,40,210
hea,7,6,4,1,34,22,1,75
oane,2,3,0,0,17,46,19,87
obertson,18,14,2,7,33,69,25,168
utherford,45,175,17,0,170,226,154,787
utherford WH,2,0,0,0,176,0,0,178
cott,0,8,1,1,5,13,10,38
equatchie,0,6,0,0,7,15,9,37
evier,49,13,0,0,19,81,77,239
helby CJC,6,13,208,83,39,1657,164,2170
helby SCCC,247,1803,0,0,566,0,0,2616
mith,5,0,0,0,7,14,9,35
tewart,0,2,0,0,3,3,1,9
ullivan,32,11,12,0,215,105,12,387
ingsport,0,0,0,0,0,0,0,0
umner,25,33,0,0,98,145,32,333
ipton,20,0,3,0,30,24,38,115
rousdale,11,0,11,0,2,0,9,33
nicoi,6,1,2,0,9,14,8,40
nion,0,2,2,3,2,2,6,17
an Buren,2,0,0,0,10,4,4,20
arren,3,25,0,0,112,19,25,184
ashington,120,14,16,31,46,133,34,394
ohnson City,102,0,0,0,0,0,0,102
ayne,1,3,1,0,21,12,8,46
eakley,23,5,6,0,24,16,7,81
hite,8,1,0,0,44,14,40,107
illiamson,25,9,4,19,100,56,89,302
ilson,25,7,10,0,37,26,17,122
OTAL,1943,4011,591,838,4754,6299,2349,20785
