"",,Other Federal,,Pre-   Pre-,Total
"",TDOC,Local,Conv. &,Conv.,trial trial,Jail
FACILITY,Backup Felons Felons*** Others,,Misd. Felony Misd.,,Pop.
Anderson,73,10,14,0,26,103,74,300
Bedford,23,1,5,2,34,24,66,155
Bedford Workhouse,13,5,0,0,32,0,0,50
Benton,17,5,0,1,16,16,7,62
Bledsoe,65,0,1,0,5,16,7,94
Blount,36,35,0,79,48,159,85,442
Bradley,47,16,69,86,84,159,68,529
Campbell,71,7,16,0,7,115,22,238
Cannon,7,2,0,1,20,5,19,54
Carroll,60,2,0,3,32,12,18,127
Carter,57,4,4,0,29,96,27,217
Cheatham,38,4,0,11,27,36,22,138
Chester,30,1,0,0,5,11,3,50
Claiborne,90,8,0,53,34,40,25,250
Clay,2,0,0,0,1,9,4,16
Cocke Jail,13,5,0,0,5,40,14,77
Cocke Annex,4,3,0,0,6,75,18,106
Coffee Annex,10,2,0,0,7,3,0,22
Coffee,45,25,0,0,91,69,155,385
Crockett,21,3,0,0,5,20,7,56
Cumberland,19,14,0,1,105,70,29,238
Davidson CJC,3,2,62,24,42,327,86,546
Davidson HDC,0,1,4,1,20,11,0,37
Davidson CWC (CDC-M),4,11,129,24,79,397,65,709
Davidson CDC (F),0,0,0,0,0,0,0,0
Davidson ORC,0,3,5,0,162,19,7,196
Davidson CCA,0,763,0,0,0,0,327,1090
Decatur,14,0,0,0,10,24,7,55
DeKalb,3,1,0,0,24,8,30,66
Dickson,74,3,0,0,34,117,30,258
Dyer,75,8,0,0,22,77,15,197
Dyer Annex,20,4,0,0,1,0,0,25
Fayette,80,2,11,4,12,46,44,199
Fentress,42,0,5,14,30,37,20,148
Franklin,39,22,0,0,44,40,16,161
Gibson,143,4,0,0,34,65,36,282
Giles,19,17,0,0,49,59,20,164
Grainger%Co%Det% Center,33,2,13,0,6,20,15,89
Greene%Det% Center,15,1,0,10,12,97,35,170
Greene WH,38,7,0,0,105,45,27,222
Grundy,10,12,0,0,18,24,11,75
Hamblen,83,3,0,3,163,72,45,369
Hamilton Jail,0,0,31,60,19,314,139,563
Hamilton - Silverdale CCA,0,0,18,91,304,0,565,978
Hancock,43,20,0,0,15,4,18,100
Hardeman,30,16,10,0,14,74,18,162
Hardin,22,5,0,4,9,49,41,130
Hawkins,105,1,0,0,66,73,42,287
Haywood,0,46,0,0,12,55,11,124
Henderson,67,10,22,1,37,34,14,185
Henry,34,37,0,0,27,32,9,139
Hickman,39,0,0,0,20,38,6,103
Houston,7,2,0,0,3,19,1,32
Humphreys,7,1,0,3,23,20,22,76
Jackson,70,0,13,11,2,6,9,111
Jefferson,61,23,0,0,67,65,30,246
Jefferson WH,28,6,0,0,6,0,0,40
Johnson,39,6,3,0,11,31,22,112
Johnson City (F),0,83,0,0,0,0,0,83
Knox - KCJ,28,7,0,10,15,130,7,197
Knox - RDWDF,65,19,3,64,74,527,234,986
Knox - KCWRC,2,6,0,2,16,35,17,78
Lake,8,22,0,1,5,17,12,65
Lauderdale,52,5,0,0,29,0,82,168
Lawrence,96,15,1,2,58,73,32,277
Lewis,17,1,0,0,13,9,23,63
Lincoln,37,11,0,0,31,28,23,130
Loudon,4,9,0,0,21,57,31,122
Macon,52,0,0,0,30,45,54,181
Madison Annex,2,0,0,0,24,14,11,51
Madison CJC,12,10,0,1,48,116,91,278
Madison PF,6,6,0,0,30,10,12,64
Marion,8,16,0,0,21,56,30,131
Marshall,67,10,0,0,44,40,10,171
Maury,154,28,0,0,97,70,29,378
McMinn,112,0,0,0,42,110,39,303
McNairy,27,0,0,1,2,21,49,100
Meigs,12,0,0,0,14,14,25,65
Monroe,33,24,0,0,30,67,36,190
Montgomery,134,2,0,12,76,249,61,534
Montgomery Workhouse,0,5,0,0,50,0,0,55
Moore,0,7,2,0,3,2,1,15
Morgan,3,0,0,0,32,10,21,66
Obion,30,12,12,47,8,16,33,158
Overton,63,3,0,0,25,18,36,145
Perry,31,0,0,0,9,12,4,56
Pickett,0,0,0,0,3,0,2,5
Polk,94,9,0,0,8,25,10,146
Putnam,7,76,64,117,7,92,24,387
Rhea,19,14,0,1,16,69,64,183
Roane,29,1,0,0,48,49,87,214
Robertson,206,21,0,0,100,164,41,532
Rutherford,128,44,0,0,127,385,131,815
Rutherford Work Center,0,65,0,0,92,0,0,157
Scott,42,6,0,0,17,43,37,145
Sequatchie,24,17,0,0,12,39,16,108
Sevier Jail,28,10,0,0,19,110,55,222
Sevier Annex,70,28,0,0,38,116,61,313
Shelby CJC,21,16,62,60,19,2335,148,2661
Shelby SCCC,41,1723,0,0,265,0,0,2029
Smith,54,2,0,0,23,29,20,128
Stewart,25,0,0,0,9,24,5,63
Sullivan,87,39,0,0,78,228,66,498
Sullivan Extension,27,16,0,0,69,75,22,209
Kingsport City,0,0,0,0,0,2,4,6
Sumner,129,64,0,0,141,305,73,712
Tipton,11,2,0,0,50,69,49,181
Trousdale,22,2,0,0,7,8,3,42
Unicoi Jail (M),30,0,5,2,7,21,8,73
Unicoi Annex (F),28,0,0,1,1,6,3,39
Union,4,3,4,1,0,27,42,81
Van Buren,0,7,0,0,10,6,11,34
Warren,51,29,0,0,123,58,41,302
"Washington Det, Center",93,12,9,82,154,145,51,546
Washington WH,26,5,1,0,21,0,1,54
Wayne,40,14,8,2,29,25,17,135
Weakley,41,6,0,0,11,18,19,95
White,33,8,10,0,92,18,25,186
Williamson,65,9,0,0,103,107,41,325
Wilson,82,16,16,0,81,140,57,392
