"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,54,8,12,0,38,106,121,339
Bedford,14,7,1,3,67,17,93,202
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,9,2,1,1,4,15,30,62
Bledsoe,68,0,0,0,1,10,19,98
Blount,63,18,0,105,51,139,89,465
Bradley,48,18,16,52,160,52,55,401
Campbell,101,11,7,0,19,46,39,223
Cannon,5,8,0,0,5,5,21,44
Carroll,22,20,0,12,17,36,12,119
Carter,9,10,1,49,85,75,56,285
Cheatham,9,1,0,1,17,46,25,99
Chester,24,4,0,2,23,22,0,75
Claiborne,51,10,0,0,25,49,29,164
Clay,2,2,0,0,0,1,2,7
Cocke Jail,2,10,1,0,2,15,7,37
Cocke Annex,8,7,0,0,18,41,36,110
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,50,0,0,0,59,26,198,333
Crockett,1,1,7,0,9,33,6,57
Cumberland,27,5,0,1,42,65,19,159
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,1,34,41,62,22,409,50,619
Davidson HDC (closed),0,0,0,0,0,0,0,0
Davidson CDM,5,62,58,6,59,296,15,501
Davidson CDF,2,29,15,6,20,79,18,169
Davidson MCC,7,228,21,13,8,62,7,346
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),0,0,1,0,0,8,2,11
Decatur,8,10,0,0,5,33,4,60
DeKalb,11,0,0,0,12,39,11,73
Dickson,28,0,0,0,72,137,39,276
Dyer,33,10,0,0,16,75,29,163
Dyer Annex,27,7,0,0,7,0,0,41
Fayette,5,2,2,4,2,20,38,73
Fentress,32,8,0,3,31,32,20,126
Franklin,12,26,0,0,43,13,67,161
Gibson,66,5,0,0,39,79,73,262
Giles,5,24,0,0,11,42,13,95
Grainger Co. Det. Center,7,17,21,10,10,21,9,95
Greene Det. Center,14,2,0,13,44,106,32,211
Greene WH,11,2,0,0,102,25,13,153
Grundy,14,7,0,0,7,26,6,60
Hamblen,28,3,0,0,88,69,76,264
Hamilton Jail (closed 6/1/21),0,0,0,0,0,0,0,0
Hamilton - Silverdale CCA,1,0,64,135,33,500,422,1155
Hancock,43,18,0,0,11,2,21,95
Hardeman,11,5,5,0,4,43,12,80
Hardin,35,5,0,5,5,58,35,143
Hawkins,22,1,0,0,87,85,26,221
Haywood,0,17,3,1,7,37,4,69
Henderson,58,9,10,4,35,65,20,201
Henry,19,41,0,0,17,65,21,163
Hickman,6,0,0,0,15,57,0,78
Houston,8,0,5,17,1,7,6,44
Humphreys,2,1,0,0,1,3,1,8
Jackson,8,0,19,3,2,18,37,87
Jefferson,17,35,0,1,18,40,63,174
Jefferson WH,8,7,0,0,3,0,0,18
Johnson,2,8,2,0,5,24,30,71
Johnson City (F),54,0,0,0,0,0,0,54
Knox - KCJ,21,8,2,14,7,137,10,199
Knox - RDWDF,37,14,10,62,25,386,160,694
Knox - KCWRC,4,4,0,4,10,47,6,75
Lake,11,0,0,1,4,16,1,33
