"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,45,6,5,0,48,136,95,335
Bedford,4,3,1,3,68,27,83,189
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,8,0,1,5,11,33,18,76
Bledsoe,55,0,0,0,10,10,7,82
Blount,76,9,0,100,47,125,78,435
Bradley,57,22,44,42,56,165,46,432
Campbell,115,11,7,0,21,40,22,216
Cannon,3,5,0,0,14,8,8,38
Carroll,26,15,0,0,12,32,14,99
Carter,23,9,1,53,89,58,51,284
Cheatham,9,1,2,0,17,31,22,82
Chester,21,0,2,4,7,20,12,66
Claiborne,50,9,0,0,30,46,29,164
Clay,1,0,0,0,0,0,3,4
Cocke Jail,5,13,0,0,6,13,7,44
Cocke Annex,5,4,0,0,8,32,18,67
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,24,13,0,0,48,21,233,339
Crockett,1,4,8,1,2,16,5,37
Cumberland,16,6,0,0,48,78,19,167
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,1,36,44,43,22,380,36,562
Davidson HDC (closed),0,0,0,0,0,0,0,0
Davidson CDM,1,115,74,3,52,305,20,570
Davidson CDF,1,26,16,2,23,88,16,172
Davidson MCC,4,188,7,15,2,62,2,280
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),0,0,0,0,0,0,0,0
Decatur,6,11,0,0,5,30,0,52
DeKalb,6,0,0,0,11,42,8,67
Dickson,19,3,0,0,74,154,40,290
Dyer,47,12,0,0,29,80,38,206
Dyer Annex,25,6,0,0,6,0,0,37
Fayette,8,2,0,7,5,10,57,89
Fentress,39,4,0,3,30,24,13,113
Franklin,6,27,0,0,42,60,24,159
Gibson,66,6,0,0,42,65,81,260
Giles,0,24,0,0,10,33,7,74
Grainger Co. Det. Center,6,19,5,5,11,6,9,61
Greene Det. Center,19,2,0,8,38,82,25,174
Greene WH,10,1,0,0,98,26,23,158
Grundy,12,4,0,0,6,33,5,60
Hamblen,30,5,0,0,100,59,63,257
Hamilton Jail (closed 6/1/21),0,0,0,0,0,0,0,0
Hamilton - Silverdale CCA,0,0,56,102,17,472,387,1034
Hancock,38,13,0,0,29,7,21,108
Hardeman,14,6,5,0,6,45,12,88
Hardin,38,5,0,2,11,52,21,129
Hawkins,27,8,0,0,60,66,32,193
Haywood,0,20,0,1,4,30,9,64
Henderson,66,7,6,2,26,49,24,180
Henry,19,37,0,0,16,67,25,164
Hickman,3,5,3,0,3,43,2,59
Houston,7,0,3,3,4,10,4,31
Humphreys,12,4,0,0,8,48,11,83
Jackson,13,0,22,0,1,12,40,88
Jefferson,7,35,0,3,18,32,64,159
Jefferson WH,7,9,0,0,3,0,0,19
Johnson,8,11,2,0,14,27,6,68
Johnson City (F),0,53,0,0,0,0,0,53
Knox - KCJ,17,9,0,23,3,126,12,190
Knox - RDWDF,31,14,4,58,21,445,162,735
Knox - KCWRC,0,5,0,1,8,55,16,85
Lake,12,0,0,0,7,22,2,43
