"",,,Other Federal,,,Pre-   Pre-,,Total
"",TDOC,Local,Conv. &,,Conv.,trial trial,,Jail
FACILITY,Backup Felons Felons*** Others,,,,Misd. Felony Misd.,,,Pop.
Lawrence,81,2,4,0,49,103,68,307
Lewis,14,4,0,0,11,12,10,51
Lincoln,37,8,5,0,35,27,13,125
Loudon,12,1,1,2,26,41,24,107
Macon,56,0,0,0,34,39,38,167
Madison Annex,15,4,0,0,14,18,6,57
Madison CJC,30,10,0,3,83,109,98,333
Madison PF,8,5,0,0,47,4,8,72
Marion,33,13,0,0,29,24,22,121
Marshall,87,9,3,0,36,14,6,155
Maury,145,43,0,0,69,64,27,348
McMinn,118,3,0,0,57,96,16,290
McNairy,35,0,0,1,2,11,21,70
Meigs,9,0,0,1,11,13,41,75
Monroe,43,6,0,0,35,66,21,171
Montgomery,100,4,0,9,106,199,32,450
Montgomery Workhouse,0,3,0,0,52,0,0,55
Moore,4,5,0,0,2,8,1,20
Morgan,11,0,0,0,12,12,19,54
Obion,30,3,22,50,9,14,6,134
Overton,32,3,0,0,15,36,70,156
Perry,23,0,0,0,4,10,3,40
Pickett,0,0,0,0,6,2,5,13
Polk,90,10,0,0,5,33,3,141
Putnam,5,47,43,92,4,76,17,284
Rhea,17,9,0,0,12,41,55,134
Roane,31,2,0,0,56,25,63,177
Robertson,265,14,0,0,91,136,32,538
Rutherford,194,54,0,0,209,340,180,977
Rutherford Work Center,0,19,0,0,157,0,0,176
Scott,35,8,0,0,12,37,28,120
Sequatchie,50,13,0,0,17,25,5,110
Sevier Jail,45,14,0,0,22,77,51,209
Sevier Annex,46,19,0,0,35,81,57,238
Shelby CJC,22,8,51,53,9,2279,142,2564
Shelby SCCC,114,1736,0,0,247,0,0,2097
Smith,51,2,0,0,22,35,12,122
Stewart,2,1,0,0,4,10,5,22
Sullivan,110,29,0,0,43,215,75,472
Sullivan Extension,35,5,0,0,41,48,42,171
Kingsport City,0,0,0,0,0,0,1,1
Sumner,114,67,0,0,116,290,55,642
Tipton,22,7,0,0,48,36,27,140
Trousdale,26,1,0,0,4,6,4,41
Unicoi Jail,28,5,0,1,5,20,5,64
Unicoi Annex,27,0,1,0,0,1,1,30
Union,5,1,0,0,2,35,26,69
Van Buren,0,7,2,0,11,0,9,29
Warren,53,25,0,0,109,82,27,296
"Washington Det, Center",104,10,14,79,162,125,26,520
Washington WH,17,2,1,0,25,0,0,45
Wayne,49,15,15,0,21,11,18,129
Weakley,35,12,0,0,14,16,14,91
White,18,6,0,0,64,22,26,136
Williamson,72,10,0,0,134,99,34,349
Wilson,74,10,22,2,56,100,79,343
