"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,111,7,8,0,19,81,70,296
Bedford,26,5,11,3,27,17,67,156
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,31,3,7,5,6,23,19,94
Bledsoe,67,0,6,0,6,3,41,123
Blount,120,9,0,117,33,81,32,392
Bradley,61,9,19,56,19,126,37,327
Campbell,165,22,10,0,18,17,20,252
Cannon,7,6,0,0,17,15,13,58
Carroll,34,13,0,1,12,28,14,102
Carter,36,7,0,61,53,101,21,279
Cheatham,20,1,0,0,11,31,19,82
Chester,27,2,0,2,6,22,3,62
Claiborne,78,12,0,0,22,42,27,181
Clay,2,2,0,0,3,2,3,12
Cocke Jail,3,3,0,2,0,12,15,35
Cocke Annex,3,7,0,1,4,27,12,54
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,52,8,0,0,5,83,139,287
Crockett,2,2,6,0,4,25,9,48
Cumberland,36,6,0,2,29,43,7,123
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,1,2,48,27,39,357,37,511
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,0,5,57,49,58,275,18,462
Davidson CDF,3,31,14,7,18,77,19,169
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),63,363,2,62,0,3,0,493
Decatur,13,7,0,0,5,21,7,53
DeKalb,6,2,0,0,11,0,11,30
Dickson,52,1,0,0,44,125,32,254
Dyer,25,5,0,0,6,72,26,134
Dyer Annex,30,1,0,0,1,0,0,32
Fayette,24,0,3,14,1,20,30,92
Fentress,39,2,0,8,32,31,20,132
Franklin,19,27,0,0,22,39,21,128
Gibson,83,3,0,0,45,80,56,267
Giles,32,13,0,0,21,46,17,129
Grainger Co. Det. Center,7,2,5,3,5,19,6,47
Greene Det. Center,18,2,0,22,14,95,23,174
Greene WH,10,2,0,0,54,27,11,104
Grundy,16,2,0,0,3,27,10,58
Hamblen,26,5,0,0,83,71,46,231
Hamilton Jail,0,0,16,91,2,156,65,330
Hamilton - Silverdale CCA,51,22,80,0,167,268,155,743
Hancock,55,18,0,0,8,3,2,86
Hardeman,14,8,3,0,3,40,6,74
Hardin,25,7,0,2,7,51,11,103
Hawkins,50,0,0,0,50,60,28,188
Haywood,0,15,0,11,5,52,14,97
Henderson,71,6,10,3,23,57,15,185
Henry,40,23,0,0,15,37,19,134
Hickman,4,0,1,0,13,42,0,60
Houston,15,0,2,2,2,8,3,32
Humphreys,11,3,0,0,6,45,23,88
Jackson,25,0,18,5,1,10,25,84
Jefferson,24,16,0,0,5,32,29,106
Jefferson WH,14,9,0,0,1,0,0,24
Johnson,27,4,1,1,6,21,13,73
Johnson City (F),70,0,0,0,0,0,0,70
Knox - KCJ,48,10,12,6,6,120,3,205
Knox - RDWDF,152,8,27,63,21,335,81,687
Knox - KCWRC,21,2,5,2,5,28,7,70
Lake,10,0,0,0,3,16,2,31
