"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,122,15,19,0,29,89,124,398
Bedford,14,1,5,2,34,17,82,155
Bedford Workhouse,12,5,0,0,47,0,2,66
Benton,19,1,3,19,14,25,41,122
Bledsoe,46,0,1,0,11,30,14,102
Blount,150,17,0,124,63,166,137,657
Bradley,124,18,41,44,125,133,62,547
Campbell,188,41,12,0,18,54,27,340
Cannon,2,7,0,0,22,24,14,69
Carroll,42,11,0,1,32,27,14,127
Carter,37,13,1,44,69,96,56,316
Cheatham,34,2,0,1,39,55,26,157
Chester,23,3,0,0,8,35,11,80
Claiborne,116,17,0,1,34,46,41,255
Clay,7,1,0,0,3,5,3,19
Cocke Jail,3,8,0,0,15,18,31,75
Cocke Annex,12,27,0,0,16,22,39,116
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,60,24,0,0,37,73,135,329
Crockett,0,1,5,2,2,27,7,44
Cumberland,40,12,0,13,62,63,20,210
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,5,0,34,10,71,155,35,310
Davidson CDC,31,10,85,49,147,354,46,722
Davidson MCC,17,1,24,7,18,245,14,326
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),3,584,30,4,42,85,40,788
Decatur,19,0,0,0,8,18,2,47
DeKalb,3,2,0,0,19,16,43,83
Dickson,105,5,0,0,64,131,50,355
Dyer,56,0,0,0,25,110,27,218
Dyer Annex,38,1,0,0,2,0,0,41
Fayette,52,0,2,9,11,21,46,141
Fentress,57,0,0,9,59,10,41,176
Franklin,25,37,0,0,43,78,28,211
Gibson,107,5,0,0,52,74,43,281
Giles,31,33,0,0,49,58,19,190
Grainger Co. Det. Center,25,13,9,8,13,28,18,114
Greene Det. Center,20,5,0,13,21,136,23,218
Greene WH,34,2,0,0,107,54,28,225
Grundy,28,7,0,0,6,35,17,93
Hamblen,85,0,0,0,160,116,93,454
Hamilton Jail,2,0,42,57,11,280,113,505
Hamilton - Silverdale CCA,42,38,84,74,294,158,335,1025
Hancock,61,20,0,0,14,18,20,133
Hardeman,15,10,3,0,16,55,14,113
Hardin,33,16,0,1,9,50,46,155
Hawkins,64,0,0,0,82,74,40,260
Haywood,0,23,0,18,12,53,14,120
Henderson,116,11,11,5,53,53,23,272
Henry,44,34,0,0,32,40,26,176
Hickman,13,10,0,0,6,67,0,96
Houston,9,0,5,3,1,6,3,27
Humphreys,8,4,0,0,32,54,26,124
Jackson,35,0,20,17,3,13,47,135
Jefferson,53,8,0,0,24,84,85,254
Jefferson WH,23,7,0,0,11,0,0,41
Johnson,29,9,4,0,6,31,45,124
Johnson City (F),0,83,0,0,0,0,0,83
Knox - KCJ,45,7,2,6,7,136,8,211
Knox - RDWDF,153,20,32,94,48,649,249,1245
Knox - KCWRC,11,2,0,4,10,32,30,89
Lake,21,0,0,0,11,18,8,58
Lauderdale,41,18,0,0,11,0,62,132
Lawrence,8,4,0,167,22,0,107,308
Lewis,0,4,2,1,7,23,13,50
Lincoln,19,15,0,0,53,49,36,172
Loudon,5,1,2,1,35,124,21,189
Macon,48,0,0,0,74,70,61,253
Madison Annex,13,1,0,0,11,12,14,51
Madison CJC,82,23,0,2,118,120,148,493
Madison PF,8,9,0,0,36,14,10,77
Marion,6,21,0,0,39,58,20,144
Marshall,58,16,0,0,49,31,13,167
Maury,59,37,0,0,78,103,38,315
McMinn,84,0,25,0,90,109,62,370
McNairy,10,2,0,1,8,24,41,86
Meigs,16,0,2,0,5,54,17,94
Monroe,63,31,5,3,72,82,31,287
Montgomery,59,6,0,17,68,281,94,525
Montgomery Workhouse,18,12,0,0,27,0,0,57
Moore,8,3,2,0,2,11,3,29
Morgan,14,0,0,0,39,9,37,99
Obion,15,6,5,64,7,27,19,143
Overton,26,2,4,0,34,20,25,111
Perry,23,0,0,2,8,8,6,47
Pickett,0,0,0,0,0,0,0,0
Polk,93,13,0,1,12,43,14,176
Putnam,111,25,5,0,103,71,69,384
Rhea,19,11,0,8,10,39,32,119
Roane,57,20,0,0,62,75,109,323
Robertson,248,21,0,0,118,121,54,562
Rutherford,223,22,0,0,66,460,97,868
Rutherford Work Center,0,115,0,0,51,0,0,166
Scott,66,0,0,0,8,37,35,146
Sequatchie,19,10,0,0,7,52,19,107
Sevier Jail,42,11,0,0,18,79,47,197
Sevier Annex,51,16,0,0,52,110,138,367
Shelby CJC,62,16,229,77,3,2307,195,2889
Shelby SCCC,440,1320,0,0,243,0,0,2003
Smith,58,6,0,0,29,23,23,139
Stewart,49,1,0,0,18,26,8,102
Sullivan,138,42,0,0,80,372,90,722
Sullivan Extension,29,7,0,0,60,119,60,275
Kingsport City,0,0,0,0,0,1,3,4
Sumner,116,89,0,0,189,392,88,874
Tipton,41,16,0,0,67,66,47,237
Trousdale,19,0,0,0,13,12,9,53
Unicoi Jail (M),14,0,0,0,2,26,17,59
Unicoi Annex (F),16,0,0,0,1,5,5,27
Union,6,0,2,2,4,12,75,101
Van Buren,0,15,0,6,11,7,13,52
Warren,25,40,10,0,103,20,71,269
"Washington Det, Center",70,23,10,53,228,183,67,634
Washington WH,21,0,2,0,22,0,0,45
Wayne,50,11,4,4,31,36,14,150
Weakley,30,17,0,0,9,20,19,95
White,22,9,14,0,92,30,29,196
Williamson,67,7,0,0,125,132,52,383
Wilson,105,29,17,52,116,79,136,534
