"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,126,10,14,0,42,85,40,317
Bedford,17,6,8,2,63,28,62,186
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,35,15,0,6,3,16,8,83
Bledsoe,62,0,6,0,7,39,4,118
Blount,128,11,0,117,44,125,41,466
Bradley,65,12,39,57,38,118,12,341
Campbell,173,23,12,0,22,25,13,268
Cannon,4,9,0,0,14,8,4,39
Carroll,41,14,0,1,20,24,9,109
Carter,20,13,0,38,51,112,3,237
Cheatham,20,1,0,0,17,23,13,74
Chester,26,1,0,2,8,27,3,67
Claiborne,73,15,0,0,20,47,17,172
Clay,2,1,0,0,2,6,1,12
Cocke Jail,0,0,0,0,0,3,5,8
Cocke Annex,7,19,1,0,12,26,22,87
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,56,33,0,0,38,80,97,304
Crockett,2,1,3,0,6,24,4,40
Cumberland,28,9,0,3,52,46,11,149
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson HDC,0,0,21,8,41,147,17,234
Davidson CDC,0,3,66,41,77,356,39,582
Davidson MCC,0,2,17,13,15,214,8,269
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),39,537,20,51,28,96,19,790
Decatur,8,4,0,0,1,22,3,38
DeKalb,3,0,0,0,10,0,0,13
Dickson,61,1,0,0,49,143,25,279
Dyer,26,5,0,0,6,77,29,143
Dyer Annex,36,2,0,0,2,0,0,40
Fayette,26,1,1,10,1,33,12,84
Fentress,36,5,0,2,33,32,23,131
Franklin,24,40,0,0,37,39,7,147
Gibson,96,8,0,0,48,75,42,269
Giles,25,15,0,0,22,69,12,143
Grainger Co. Det. Center,4,21,2,4,8,12,0,51
Greene Det. Center,13,8,0,14,20,86,24,165
Greene WH,20,4,0,0,75,35,9,143
Grundy,19,7,0,0,4,19,12,61
Hamblen,40,2,0,0,100,64,30,236
Hamilton Jail,1,0,20,78,9,190,50,348
Hamilton - Silverdale CCA,47,20,92,0,189,242,83,673
Hancock,50,22,0,0,13,4,6,95
Hardeman,15,3,2,0,2,42,3,67
Hardin,27,7,0,3,13,70,27,147
Hawkins,56,0,0,0,56,67,25,204
Haywood,0,22,0,12,6,47,10,97
Henderson,59,11,11,3,28,58,8,178
Henry,39,38,0,0,17,54,3,151
Hickman,9,0,0,0,19,53,0,81
Houston,10,0,7,0,5,2,2,26
Humphreys,10,3,0,0,6,43,20,82
Jackson,31,0,22,11,1,11,24,100
Jefferson,14,21,0,0,8,83,38,164
Jefferson WH,20,11,0,0,6,0,0,37
Johnson,30,6,2,0,12,22,16,88
Johnson City (F),79,0,0,0,0,0,0,79
Knox - KCJ,36,10,9,4,5,137,4,205
Knox - RDWDF,124,12,18,69,34,435,73,765
Knox - KCWRC,22,0,3,1,14,68,7,115
Lake,12,0,0,0,0,14,2,28
Lauderdale,25,1,0,0,6,0,41,73
Lawrence,11,0,0,121,32,0,65,229
Lewis,2,1,3,3,14,12,,35
Lincoln,16,14,2,0,21,46,13,112
Loudon,4,3,3,0,8,64,7,89
Macon,49,0,0,0,41,59,26,175
Madison Annex,14,0,0,0,7,13,10,44
Madison CJC,47,18,0,2,113,115,103,398
Madison PF,11,4,0,0,36,12,17,80
Marion,8,15,0,0,18,18,11,70
Marshall,41,8,0,0,38,38,5,130
Maury,41,46,0,0,72,77,8,244
McMinn,78,0,10,0,36,77,17,218
McNairy,17,0,0,0,6,14,16,53
Meigs,11,4,0,0,7,36,5,63
Monroe,56,11,1,0,34,48,24,174
Montgomery,51,7,0,9,43,310,62,482
Montgomery Workhouse,14,6,0,0,18,0,0,38
Moore,6,8,2,0,2,1,0,19
Morgan,5,0,0,0,7,5,11,28
Obion,34,4,5,69,1,22,4,139
Overton,52,2,2,1,8,9,15,89
Perry,22,0,0,2,0,19,4,47
Pickett (closed),0,0,0,0,0,0,0,0
Polk,103,7,0,0,0,33,2,145
Putnam,105,10,12,0,80,57,18,282
Rhea,11,11,0,1,4,31,23,81
Roane,13,15,0,0,37,41,37,143
Robertson,228,21,0,0,75,116,32,472
Rutherford,200,30,0,0,55,420,49,754
Rutherford Work Center,0,108,0,0,52,0,0,160
Scott,65,0,0,0,2,47,18,132
Sequatchie,18,6,0,0,10,32,10,76
Sevier Jail,44,23,0,0,56,120,49,292
Sevier Annex,27,10,0,0,15,81,14,147
Shelby CJC,46,6,230,23,3,1835,56,2199
Shelby SCCC,399,1240,0,0,153,0,0,1792
Smith,48,5,0,0,18,25,7,103
Stewart,42,0,1,0,10,26,5,84
Sullivan,83,22,0,0,22,285,40,452
Sullivan Extension,25,5,0,0,48,81,39,198
Kingsport City,0,0,0,0,0,2,0,2
Sumner,117,43,0,0,65,320,37,582
Tipton,1,11,0,0,36,52,27,127
Trousdale,14,4,0,0,4,11,4,37
Unicoi Jail (M),22,0,1,1,4,24,18,70
Unicoi Annex (F),23,0,0,1,2,11,8,45
Union,4,0,5,0,2,16,34,61
Van Buren,12,1,7,15,2,7,,44
Warren,21,27,7,0,70,21,32,178
"Washington Det, Center",51,12,8,46,102,184,41,444
Washington WH,15,2,3,0,16,1,0,37
Wayne,56,7,6,9,11,32,4,125
Weakley,30,12,0,0,13,20,10,85
White,7,2,3,0,78,35,11,136
Williamson,17,8,2,0,29,114,16,186
Wilson,87,25,13,0,78,49,128,380
