"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,107,5,13,0,31,111,87,354
Bedford,11,7,5,4,33,7,95,162
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,16,4,3,2,4,20,19,68
Bledsoe,73,0,0,0,3,10,1,87
Blount,61,7,0,105,47,120,63,403
Bradley,37,17,18,53,134,34,50,343
Campbell,122,11,7,0,17,20,17,194
Cannon,4,8,0,0,9,3,16,40
Carroll,25,12,0,2,13,22,6,80
Carter,26,9,0,29,56,101,17,238
Cheatham,6,2,0,0,9,38,26,81
Chester,22,8,0,0,8,21,9,68
Claiborne,50,19,0,0,26,58,36,189
Clay,2,1,0,0,1,5,8,17
Cocke Jail,3,6,0,0,3,10,8,30
Cocke Annex,3,14,0,0,20,32,24,93
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,29,3,0,0,5,34,142,213
Crockett,0,2,4,0,2,22,4,34
Cumberland,16,11,0,0,15,50,7,99
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,1,17,39,58,27,345,25,512
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,2,16,59,3,45,363,25,513
Davidson CDF,1,24,9,3,11,69,7,124
Davidson MCC,5,227,5,16,1,9,0,263
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),0,26,0,1,0,0,0,27
Decatur,8,6,0,0,2,22,3,41
DeKalb,4,0,0,0,4,16,11,35
Dickson,52,0,0,0,27,108,33,220
Dyer,29,1,0,0,1,0,0,31
Dyer Annex,28,8,0,0,12,67,27,142
Fayette,15,3,1,22,3,12,32,88
Fentress,34,0,2,34,8,24,37,139
Franklin,16,20,0,0,32,54,21,143
Gibson,88,1,0,0,39,68,56,252
Giles,5,15,0,0,9,31,8,68
Grainger Co. Det. Center,8,28,3,6,12,16,7,80
Greene Det. Center,13,5,0,9,31,113,37,208
Greene WH,5,1,0,0,77,31,27,141
Grundy,22,2,0,0,2,28,13,67
Hamblen,46,6,0,0,58,66,45,221
Hamilton Jail,0,0,0,6,3,21,32,62
Hamilton - Silverdale CCA,2,0,65,159,44,473,284,1027
Hancock,48,18,0,0,12,5,10,93
Hardeman,10,11,4,0,4,45,8,82
Hardin,43,4,0,1,5,37,11,101
Hawkins,39,0,0,0,62,81,24,206
Haywood,0,21,0,1,4,42,7,75
Henderson,62,5,11,5,36,48,13,180
Henry,22,29,0,0,15,55,15,136
Hickman,7,6,0,0,1,42,18,74
Houston,6,0,5,0,0,5,0,16
Humphreys,4,5,0,0,10,55,12,86
Jackson,18,0,20,5,2,18,36,99
Jefferson,12,23,0,0,5,45,53,138
Jefferson WH,11,9,0,0,7,0,0,27
Johnson,22,3,2,0,19,8,5,59
Johnson City (F),54,0,0,0,0,0,0,54
Knox - KCJ,15,2,4,15,3,146,7,192
Knox - RDWDF,32,15,10,60,26,347,109,599
Knox - KCWRC,8,1,4,1,7,57,17,95
Lake,7,0,0,0,2,16,2,27
Lauderdale,25,4,0,0,2,0,49,80
