"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
Anderson,15,0,0,0,54,73,40,182
Bedford,18,1,5,2,18,13,52,109
Bedford Workhouse,15,8,1,0,89,0,0,113
Benton,11,0,1,0,29,11,14,66
Bledsoe,1,4,0,0,4,7,7,23
Blount,59,26,0,104,43,64,54,350
Bradley,55,49,79,3,94,79,37,396
Campbell,24,12,10,0,15,30,23,114
Cannon,11,1,7,0,12,18,5,54
Carroll,1,4,2,4,26,18,11,66
Carter,11,18,3,0,121,87,42,282
Cheatham,18,6,1,0,48,23,22,118
Chester,0,0,0,0,0,22,6,28
Claiborne,3,7,5,0,11,21,9,56
Clay,7,3,3,0,1,0,0,14
Cocke,8,9,8,7,40,35,20,127
Coffee,23,44,7,4,59,24,84,245
Crockett,16,4,3,0,15,9,10,57
Cumberland,1,15,7,0,46,15,23,107
Davidson CJC,6,5,0,44,80,446,70,651
Davidson HDC,3,2,0,7,79,367,24,482
Davidson CWC (CDC-M),1,18,0,8,184,336,32,579
Davidson CDC (F),1,108,0,4,120,171,24,428
Davidson CCA,0,984,0,0,0,0,0,984
Decatur,0,2,0,0,1,16,0,19
DeKalb,0,38,0,0,47,3,3,91
Dickson,46,3,4,0,56,73,34,216
Dyer,46,23,23,0,36,39,6,173
Fayette,31,6,0,1,23,49,6,116
Fentress,15,7,7,0,3,2,7,41
Franklin,13,18,7,0,30,48,0,116
Gibson,17,15,12,0,92,52,70,258
Giles,3,9,5,4,46,36,26,129
Grainger,6,1,1,0,9,26,6,49
Greene,77,18,0,46,127,38,37,343
Grundy,0,1,0,7,3,24,0,35
Hamblen,5,65,1,0,82,57,46,256
Hamilton Jail,0,142,0,108,0,212,92,554
Hamilton - Silverdale CCA,2,0,27,109,391,0,310,839
Hancock,39,46,0,0,9,1,8,103
Hardeman,5,8,2,0,25,43,11,94
Hardin,5,7,1,0,7,21,6,47
Hawkins,8,0,0,0,13,33,12,66
Haywood,11,14,2,0,25,41,7,100
Henderson,5,1,25,2,2,6,16,57
Henry,23,10,6,0,64,44,19,166
Hickman,0,17,0,3,13,13,7,53
Houston,12,0,0,0,5,7,0,24
Humphreys,3,2,0,1,10,18,12,46
Jackson,6,1,8,0,5,10,15,45
Jefferson,36,18,0,0,24,36,17,131
Johnson,12,15,0,0,11,14,7,59
Knox - KCJ,6,16,0,6,15,123,32,198
Knox - KCDF,5,19,3,52,112,309,216,716
Knox - KJAX,1,2,0,0,28,22,27,80
Knox - KCWRC,0,2,0,2,27,6,17,54
Lake,3,28,0,0,12,15,7,65
Lauderdale,0,37,40,0,14,24,21,136
Lawrence,,,,,,,,0
Lewis,14,0,0,0,13,6,4,37
Lincoln,11,12,0,0,54,17,28,122
Loudon,0,16,0,6,25,41,21,109
Macon,58,0,0,0,14,17,15,104
Madison,17,13,3,18,56,113,85,305
Madison PF,1,8,0,0,63,4,7,83
Marion,5,0,13,0,23,41,27,109
Marshall,25,0,0,0,20,25,8,78
Maury,4,27,21,0,79,58,35,224
McMinn,55,20,3,0,18,87,30,213
McNairy,39,0,3,0,3,26,18,89
Meigs,20,1,0,0,7,12,5,45
Monroe,56,0,0,1,33,30,40,160
Montgomery,39,15,4,0,73,239,128,498
Montgomery Workhouse,0,15,0,0,53,0,0,68
Moore,5,9,0,0,3,4,1,22
Morgan,6,3,0,0,22,13,14,58
Obion,28,15,9,11,19,31,0,113
Overton,29,3,0,0,14,18,14,78
Perry,6,0,6,0,3,15,10,40
Pickett,4,0,0,0,2,0,4,10
Polk,12,3,0,0,2,24,14,55
Putnam,40,5,11,0,92,73,58,279
Rhea,10,6,5,0,42,14,27,104
Roane,4,8,0,0,20,41,30,103
Robertson,6,13,0,34,64,72,30,219
Rutherford,27,243,36,0,199,206,169,880
Rutherford WH,4,3,0,0,210,0,0,217
Scott,0,18,2,0,13,9,12,54
Sequatchie,22,9,0,0,6,19,7,63
Sevier,54,29,0,0,41,113,56,293
Shelby CJS,7,12,34,116,237,2346,212,2964
Shelby SCCC,0,2101,0,0,477,2,0,2580
Smith,6,0,0,0,14,7,7,34
Stewart,2,4,0,0,3,7,3,19
Sullivan,101,11,10,0,207,259,8,596
Kingsport City,0,0,0,0,0,0,1,1
Sumner,56,87,0,0,159,175,41,518
Tipton,14,0,0,0,33,51,39,137
Trousdale,16,3,0,0,7,10,9,45
Unicoi,15,0,2,4,4,38,6,69
Union,0,1,0,11,1,14,10,37
Van Buren,0,2,0,0,8,0,9,19
Warren,11,16,0,0,87,21,44,179
Washington,87,12,9,37,88,184,82,499
Johnson City,0,95,0,0,0,0,0,95
Wayne,2,1,4,0,13,4,15,39
Weakley,18,6,5,0,35,18,0,82
White,12,4,0,0,48,27,11,102
Williamson,73,3,0,4,99,103,62,344
Wilson,39,7,6,0,57,32,78,219
TOTAL,1809,4778,502,770,5418,7996,3243,24516
