"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,118,10,23,0,42,101,98,392
Bedford,19,5,4,1,72,24,60,185
Bedford Workhouse,0,0,0,0,0,0,0,0
Benton,25,15,2,25,6,23,11,107
Bledsoe,72,0,5,0,9,43,19,148
Blount,117,8,0,125,52,144,107,553
Bradley,71,17,58,46,110,125,54,481
Campbell,152,35,12,0,36,29,47,311
Cannon,5,14,0,0,18,11,13,61
Carroll,51,14,0,0,45,33,14,157
Carter,30,19,1,39,86,124,29,328
Cheatham,31,1,0,7,28,22,30,119
Chester,27,3,0,3,16,32,9,90
Claiborne,71,20,0,0,31,67,35,224
Clay,2,1,0,0,3,7,2,15
Cocke Jail,6,9,0,2,24,13,30,84
Cocke Annex,2,13,1,1,26,31,57,131
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,63,28,0,0,47,87,123,348
Crockett,0,0,4,1,5,40,8,58
Cumberland,27,10,0,2,41,62,27,169
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,0,2,17,6,49,118,33,225
Davidson CDC,0,5,83,25,132,378,43,666
Davidson MCC,0,1,30,9,18,252,15,325
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),25,575,25,41,59,105,26,856
Decatur,12,0,0,0,7,31,7,57
DeKalb,3,2,0,1,17,13,37,73
Dickson,85,1,0,0,96,139,33,354
Dyer,31,7,0,0,17,95,47,197
Dyer Annex,38,5,0,0,3,0,0,46
Fayette,21,3,5,8,6,48,50,141
Fentress,0,35,12,5,45,27,34,158
Franklin,20,41,0,0,43,62,46,212
Gibson,103,5,0,0,59,80,59,306
Giles,32,25,0,0,36,63,25,181
Grainger Co. Det. Center,4,12,6,3,11,30,4,70
Greene Det. Center,19,11,0,12,30,78,33,183
Greene WH,29,5,0,0,85,34,13,166
Grundy,18,14,0,0,9,37,20,98
Hamblen,40,5,0,0,117,98,103,363
Hamilton Jail,2,0,24,74,19,307,99,525
Hamilton - Silverdale CCA,28,70,54,53,253,281,249,988
Hancock,63,23,0,0,19,4,6,115
Hardeman,14,11,2,0,9,58,10,104
Hardin,33,10,0,3,14,56,28,144
Hawkins,56,0,0,0,72,78,39,245
Haywood,0,28,0,9,12,55,15,119
Henderson,71,21,21,3,39,66,16,237
Henry,39,37,0,0,38,33,17,164
Hickman,7,0,0,0,22,57,0,86
Houston,8,1,13,3,6,1,8,40
Humphreys,6,4,0,0,28,52,24,114
Jackson,27,0,24,15,2,13,37,118
Jefferson,23,25,0,2,14,70,63,197
Jefferson WH,19,9,0,0,5,0,0,33
Johnson,28,11,3,0,18,31,37,128
Johnson City (F),82,0,0,0,0,0,0,82
Knox - KCJ,37,11,6,4,1,142,4,205
Knox - RDWDF,135,21,22,90,30,563,238,1099
Knox - KCWRC,6,1,1,10,9,33,23,83
Lake,15,0,0,0,5,17,0,37
Lauderdale,35,6,0,0,8,0,40,89
Lawrence,11,1,0,142,29,0,97,280
Lewis,0,1,1,2,2,26,26,58
Lincoln,24,15,4,0,35,46,20,144
Loudon,9,10,7,0,19,61,18,124
Macon,52,0,0,0,41,67,37,197
Madison Annex,11,1,0,0,15,9,16,52
Madison CJC,52,20,0,3,115,122,140,452
Madison PF,8,7,0,0,30,16,17,78
Marion,1,15,0,0,36,62,21,135
Marshall,41,9,0,0,56,36,13,155
Maury,37,35,0,0,72,106,39,289
McMinn,64,0,20,0,89,114,64,351
McNairy,11,0,0,1,8,32,31,83
Meigs,7,6,0,0,3,41,19,76
Monroe,45,17,2,4,56,85,35,244
Montgomery,52,5,0,12,78,292,77,516
Montgomery Workhouse,17,7,0,0,34,0,0,58
Moore,10,6,3,0,3,8,3,33
Morgan,8,0,0,0,23,5,39,75
Obion,32,4,6,69,11,31,6,159
Overton,59,4,2,0,25,15,46,151
Perry,23,0,0,3,0,18,8,52
Pickett,0,0,0,0,0,0,0,0
Polk,107,2,0,1,9,52,11,182
Putnam,93,22,5,0,105,88,59,372
Rhea,12,7,0,4,6,33,39,101
Roane,18,19,0,0,48,61,92,238
Robertson,203,10,0,0,87,123,48,471
Rutherford,215,35,0,0,84,463,68,865
Rutherford Work Center,0,141,0,0,96,0,0,237
Scott,70,0,0,0,10,53,35,168
Sequatchie,21,7,0,0,4,39,23,94
Sevier Jail,30,14,0,0,13,93,39,189
Sevier Annex,48,26,0,0,39,126,127,366
Shelby CJC,47,12,269,55,21,2174,171,2749
Shelby SCCC,385,1322,0,0,179,0,0,1886
Smith,52,2,0,0,36,31,9,130
Stewart,46,0,1,0,11,21,3,82
Sullivan,89,26,0,0,70,379,90,654
Sullivan Extension,27,13,0,0,58,112,67,277
Kingsport City,0,0,0,0,0,1,1,2
Sumner,125,76,0,0,165,342,83,791
Tipton,15,8,0,0,78,65,39,205
Trousdale,19,0,0,0,7,15,11,52
Unicoi Jail (M),23,0,3,0,7,16,13,62
Unicoi Annex (F),25,0,0,0,0,9,8,42
Union,5,1,8,0,4,19,63,100
Van Buren,0,16,0,10,22,10,19,77
Warren,16,32,9,0,96,28,83,264
"Washington Det, Center",65,31,9,55,202,209,87,658
Washington WH,16,4,3,0,14,0,0,37
Wayne,50,6,6,9,23,40,12,146
Weakley,30,11,0,0,19,19,25,104
White,8,5,11,0,86,34,51,195
Williamson,24,8,0,0,121,159,34,346
Wilson,97,28,18,3,125,97,146,514
