"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,114,17,31,0,57,97,102,418
Bedford,17,1,2,2,31,12,77,142
Bedford Workhouse,8,3,0,0,40,0,1,52
Benton,16,0,5,25,7,21,38,112
Bledsoe,67,0,4,0,11,53,13,148
Blount,134,12,0,106,54,150,111,567
Bradley,100,21,33,50,108,140,53,505
Campbell,171,35,12,0,17,29,39,303
Cannon,4,9,0,0,22,15,11,61
Carroll,50,14,0,4,34,19,14,135
Carter,26,18,2,30,84,148,47,355
Cheatham,31,0,0,1,36,35,42,145
Chester,23,8,0,0,12,36,9,88
Claiborne,89,15,0,0,30,67,42,243
Clay,9,2,0,0,4,3,1,19
Cocke Jail,2,12,0,0,24,14,27,79
Cocke Annex,9,24,1,3,30,24,49,140
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,64,30,0,0,62,91,101,348
Crockett,1,0,3,7,2,34,9,56
Cumberland,21,7,0,2,65,87,17,199
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,0,1,13,2,44,125,29,214
Davidson CDC,0,8,91,15,127,355,54,650
Davidson MCC,0,1,29,6,32,237,13,318
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),36,608,31,35,47,110,33,900
Decatur,15,0,0,0,6,24,3,48
DeKalb,3,2,0,0,22,17,39,83
Dickson,93,2,0,0,95,134,48,372
Dyer,62,0,0,0,20,88,15,185
Dyer Annex,43,1,0,0,3,0,0,47
Fayette,38,0,7,9,9,51,32,146
Fentress,35,5,0,2,51,32,17,142
Franklin,29,44,0,0,50,77,28,228
Gibson,105,7,0,0,46,81,56,295
Giles,34,28,0,0,38,47,23,170
Grainger Co. Det. Center,5,17,7,6,11,21,10,77
Greene Det. Center,19,7,0,16,29,121,27,219
Greene WH,29,2,0,0,87,49,24,191
Grundy,22,9,0,0,7,31,15,84
Hamblen,67,7,0,0,141,107,80,402
Hamilton Jail,1,0,20,55,12,283,106,477
Hamilton - Silverdale CCA,22,67,58,61,255,269,256,988
Hancock,56,18,0,0,16,4,22,116
Hardeman,19,7,4,0,11,44,7,92
Hardin,34,9,0,1,14,55,30,143
Hawkins,57,2,0,0,81,82,31,253
Haywood,0,27,0,10,17,52,14,120
Henderson,91,24,14,4,48,54,27,262
Henry,40,36,0,0,44,65,13,198
Hickman,9,18,0,0,4,61,0,92
Houston,11,2,7,1,4,0,5,30
Humphreys,7,5,0,0,29,49,24,114
Jackson,27,0,23,14,4,15,44,127
Jefferson,31,20,0,1,16,67,67,202
Jefferson WH,21,11,0,0,13,0,0,45
Johnson,29,10,4,0,8,35,26,112
Johnson City (F),0,81,0,0,0,0,0,81
Knox - KCJ,50,6,3,6,3,123,10,201
Knox - RDWDF,151,22,14,61,32,563,196,1039
Knox - KCWRC,11,0,1,2,4,35,34,87
Lake,16,0,0,0,5,12,3,36
Lauderdale,43,7,0,0,9,0,55,114
Lawrence,17,2,0,154,23,1,99,296
Lewis,0,5,2,1,5,19,24,56
Lincoln,25,20,2,0,37,41,29,154
Loudon,6,3,3,0,23,86,15,136
Macon,50,0,0,0,45,70,65,230
Madison Annex,14,3,0,0,14,11,10,52
Madison CJC,54,21,0,1,112,123,135,446
Madison PF,9,11,0,0,29,19,28,96
Marion,7,12,0,0,32,56,16,123
Marshall,51,6,0,0,42,31,12,142
Maury,47,37,0,0,77,123,50,334
McMinn,69,0,21,0,82,124,55,351
McNairy,18,0,0,0,6,40,29,93
Meigs,8,6,0,0,7,47,21,89
Monroe,42,19,3,2,66,85,43,260
Montgomery,57,9,0,12,62,271,85,496
Montgomery Workhouse,17,13,0,0,30,0,0,60
Moore,14,3,4,0,4,4,3,32
Morgan,8,0,0,0,36,6,32,82
Obion,25,14,5,70,6,22,13,155
Overton,31,2,3,0,17,17,44,114
Perry,23,0,0,6,0,10,4,43
Pickett,0,0,0,0,0,0,0,0
Polk,103,7,0,0,20,47,9,186
Putnam,107,22,6,0,120,72,63,390
Rhea,14,14,0,0,10,46,67,151
Roane,33,14,0,0,67,69,73,256
Robertson,214,21,0,0,100,111,40,486
Rutherford,235,31,0,0,66,454,91,877
Rutherford Work Center,0,133,0,0,37,0,0,170
Scott,57,0,0,0,15,58,36,166
Sequatchie,17,8,0,0,11,34,15,85
Sevier Jail,39,9,0,0,16,97,50,211
Sevier Annex,51,33,0,0,31,121,116,352
Shelby CJC,75,4,258,42,5,2111,184,2679
Shelby SCCC,391,1313,0,0,212,0,0,1916
Smith,46,4,0,0,36,31,29,146
Stewart,47,0,0,0,16,17,8,88
Sullivan,92,36,0,0,76,375,72,651
Sullivan Extension,26,25,0,0,30,111,60,252
Kingsport City,0,0,0,0,0,3,5,8
Sumner,148,96,0,0,175,353,79,851
Tipton,36,11,0,0,78,75,36,236
Trousdale,23,0,0,0,9,5,12,49
Unicoi Jail (M),26,0,1,0,4,17,21,69
Unicoi Annex (F),29,0,0,1,0,8,4,42
Union,2,0,6,0,3,11,70,92
Van Buren,0,15,4,5,20,9,14,67
Warren,22,39,8,0,86,24,78,257
"Washington Det, Center",84,33,12,72,169,186,77,633
Washington WH,17,3,1,0,17,0,0,38
Wayne,52,6,7,6,30,35,7,143
Weakley,27,6,0,0,15,19,18,85
White,19,5,19,0,81,33,30,187
Williamson,47,8,1,0,138,114,55,363
Wilson,114,24,15,42,101,89,127,512
