name,city,state,website
SU ANA JOAQUINA ORTIZ ORTIZ,OROCOVIS,PR,
SOUTH DELTA HIGH SCHOOL,ROLLING FORK,MS,
SEASHORE MIDDLE ACAD,CORPUS CHRISTI,TX,
REGINO VEGA MATINEZ (NUEVA ELEMENTAL BO SANTA CLARA),CIDRA,PR,
SU NUEVA BO. MEDIANIA,LOIZA,PR,
DETROIT INTERNATIONAL ACADEMY FOR YOUNG WOMEN,DETROIT,MI,
EARLY LEARNING CENTER (0-3) AT GATEWAY,OMAHA,NE,
GADSDEN ADMIN COMPLEX PREK CENTER,SUNLAND PARK,NM,
SOUTH VERDE TECHNOLOGY MAGNET,CAMP VERDE,AZ,
AVIS HUFF STUDENT SUPPORT SERVICE,KANKAKEE,IL,
ALP CREDIT RECOVERY,HOWARD LAKE,MN,
EARLY WONDERS PRESCHOOL PARTNERSHIP,MINNEAPOLIS,MN,
DIAMONDHEAD READY TO LEARN,BURNSVILLE,MN,
MENAHGA MIDDLE SCHOOL,MENAHGA,MN,
EL MAGNET AT MILAM EL,ODESSA,TX,
LAKE CITY CREDIT RECOVERY,LAKE CITY,MN,
REEF-SUNSET PRIMARY COMMUNITY DAY,AVENAL,CA,
HEALTH & FAMILY RESOURCE CENTER (HFRC),GERING,NE,
WARM SPRINGS ELEMENTARY/MIDDLE SCHOOL,TONOPAH,NV,
SOUTHVIEW MIDDLE SCHOOL,LORAIN,OH,
ILTEXAS - FORT WORTH/SAGINAW H S,FORT WORTH,TX,
EXCEL CENTER LOCKHART,LOCKHART,TX,
PARIS ELEMENTARY SCHOOL,PARIS,ID,
COLORADO EL AND MIDDLE,COLORADO CITY,TX,
WEST DALLAS AREA,DALLAS,TX,
NEISD - PK4SA,SAN ANTONIO,TX,
CHAMBERS ELEMENTARY SCHOOL,EAST CLEVELAND,OH,
EUGENIO MARIA DE HOSTOS,SAN LORENZO,PR,
GARRETT HEYNS HIGH SCHOOL,SHELTON,WA,
AXTELL/BRUCEVILLE-EDDY LEARNING CENTER,EDDY,TX,
GIFFORD ST REGIONAL SAFE SCH PROG,ELGIN,IL,
PHALEN LEADERSHIP ACADEMY - IN INC,INDIANAPOLIS,IN,
NEW MIDDLE AT MCNEIL,ROUND ROCK,TX,
BETTY ROSADO DE VEGA,GUAYNABO,PR,
SUN TRANSITION,PLYMOUTH,MN,
RAFAEL HERNANDEZ,VEGA ALTA,PR,
ELEMENTAL BARRIO LAS 400,CANOVANAS,PR,
REGIONAL ALTERNATIVE ED/STAFFORD CO,FALMOUTH,VA,
REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,ROANOKE,VA,
STEWART,TACOMA,WA,
EXCEL CENTER - LAFAYETTE SQUARE,INDIANAPOLIS,IN,
LAKESIDE ELEMENTARY SCHOOL,PLUMMER,ID,
REG'L LEARNING CENTER STAR WINN,ROCKFORD,IL,
ANGELES PASTOR (SAN MARTIN),SAN JUAN,PR,
GREENFIELD-CENTRAL HIGH SCHOOL,GREENFIELD,IN,
VALLEY VIEW ALTERNATIVE HIGH SCHOOL,SUGAR CITY,ID,
ANGEL SANDIN MARTINEZ,VEGA BAJA,PR,
MARSH VALLEY HIGH SCHOOL,ARIMO,ID,
CLAYTON ELEMENTARY SCHOOL,CLAYTON,ID,
JUAN PONCE DE LEON (ESPECIALIZADA),GUAYNABO,PR,
LAS MONJITAS,PONCE,PR,
RAFAEL MARTINEZ NADAL,GUAYNABO,PR,
TENDOY ELEMENTARY SCHOOL,POCATELLO,ID,
ORDOT CHALAN PAGO ELEMENTARY SCHOOL,ORDOT,GU,
RIO CANAS ARRIBA,MAYAGUEZ,PR,
DON LUIS MUNOZ MARIN (ELEMENTAL URBANA NUEVA),CEIBA,PR,
FRANCISCA DAVILA SEMPRIT,TOA BAJA,PR,
ANTONIO GONZALEZ SUAREZ (ESPECIALIZADA),ANASCO,PR,
WALWORTH CO EDUC ALT HIGH,ELKHORN,WI,
SAGE HILLS OPEN DOORS,EPHRATA,WA,
PREKINDERGARTEN OFFSITES,OXON HILL,MD,
WARROAD ALTERNATIVE LEARNING PROGRA,WARROAD,MN,
EAST ELEMENTARY ANNEX,MCCONNELSVILLE,OH,
CNE EARLY CHILDHOOD ACADEMY,OWENSVILLE,OH,
ACADEMY OF THE AMERICAS HIGH SCHOOL,DETROIT,MI,
WATERFORD LIFETRACKS PROGRAM CRARY CAMPUS,WATERFORD,MI,
STRIVE TRANSITION PROGRAM,LAPEER,MI,
LANDER ADULT,BATTLE MOUNTAIN,NV,
WEST VALLEY VIRTUAL ACADEMY 7-8,YAKIMA,WA,
WEST VALLEY VIRTUAL ACADEMY K-6,YAKIMA,WA,
NEW H S #14,KATY,TX,
MISSION EARLY LEARNING,MISSION,TX,
INDEPENDENCE HIGH SCHOOL,ELKO,NV,
DAWSON COLONY SCHOOL - 20,SCOTLAND,SD,
LPOSD HOME SCHOOL ACADEMY,SANDPOINT,ID,
ESSIE MAE KISER FOXX CHARTER SCHOOL,SALISBURY,NC,
OLATHE WEST HIGH SCHOOL,OLATHE,KS,
ALTERNATIVE SCHOOL AT LEVITT,WILLINGBORO,NJ,
ESCONDIDO NORTH EL,CONVERSE,TX,
WCSEA BLACK PATRIDGE PUB DAY,GERMANTOWN HILLS,IL,
CAVIAT - FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,FLAGSTAFF,AZ,
PIMA COUNTY AT WALDEN GROVE,SAHUARITA,AZ,
TRI-COUNTY CENTER,MURPHYSBORO,IL,
ARTE I RPTCS (REGIONAL PROFESSIONAL TECHNICAL CHARTER SCHOOL,TWIN FALLS,ID,
NORTHEAST ACADEMY EAST,ST CHARLES,IL,
KNOX INSPIRE ACADEMY,BARBOURVILLE,KY,
WC TEL CENTER,SPRINGFIELD,KY,
SAIL SKILLS FOR ADULT INDEPENDENT LIVING,MASON,MI,
LAKES COUNTRY ACADEMY - ALEX,ALEXANDRIA,MN,
FEC PRE K,FARIBAULT,MN,
GLADSTONE VOLUNTARY PRE-K,MAPLEWOOD,MN,
ELEMENTARY #9 TBD,PLYMOUTH,MN,
RISING STARS ACADEMY ON VINE,CINCINNATI,OH,
LEAP ACADEMY AT NORTH FAIRMONT,CINCINNATI,OH,
JJ SMITH ELEMENTARY,ENUMCLAW,WA,
BORREGO PASS,CROWNPOINT,NM,
TO'HAJIILEE DAY SCHOOL,TOHAJIILEE,NM,
RIVER VALLEY INT,WACO,TX,
WEBB PRI CENTER,AUSTIN,TX,
LITTLE MIAMI INTERMEDIATE MIDDLE SCHOOL,MAINEVILLE,OH,
ELEMENTAL NUEVA (FACTOR V),ARECIBO,PR,
SEGUNDO RUIZ BELVIS,MAYAGUEZ,PR,
