name,city,state,address,district
KENNEDY LEARNING CENTER,SOUTHFIELD,MI,,SOUTHFIELD PUBLIC SCHOOL DISTRICT
WASHBURN HIGH SCHOOL - SWS,MINNEAPOLIS,MN,,MINNEAPOLIS PUBLIC SCHOOL DISTRICT
GOODHUE HIGH SCHOOL CREDIT RECOVERY,GOODHUE,MN,,GOODHUE COUNTY EDUCATION DISTRICT
VOLUNTEERS OF AMERICA EXTENDED,MINNEAPOLIS,MN,,MINNEAPOLIS PUBLIC SCHOOL DISTRICT
SAINTS ONLINE,SAINT FRANCIS,MN,,ST. FRANCIS AREA SCHOOLS
EARLY ED FROST LAKE,SAINT PAUL,MN,,ST. PAUL PUBLIC SCHOOL DISTRICT
PHOENIX RECOVERY PROGRAMS,MANKATO,MN,,JANESVILLE-WALDORF-PEMBERTON
COMPASS CLASSICAL ACADEMY CHARTER SCHOOL,FRANKLIN,NH,,COMPASS CLASSICAL ACADEMY CHARTER SCHOOL
SOUTH HUNTERDON HIGH SCHOOL,LAMBERTVILLE,NJ,,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT
RAYMOND LESNIAK ENERGY STRENGTH HOPE RECOVERY HIGH SCHOOL,UNION,NJ,,UNION COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT
EARLY COLLEGE HIGH SCHOOL,WINTERVILLE,NC,,PITT COUNTY SCHOOLS
EXCELSIOR CLASSICAL ACADEMY,DURHAM,NC,,EXCELSIOR CLASSICAL ACADEMY
KIPP DURHAM COLLEGE PREPARATORY,DURHAM,NC,,KIPP DURHAM COLLEGE PREPARATORY
NC CONNECTIONS ACADEMY,DURHAM,NC,,NORTH CAROLINA CYBER ACADEMY
YOUNGSVILLE ACADEMY,YOUNGSVILLE,NC,,YOUNGSVILLE ACADEMY
TULSA HONOR ACADEMY CHARTER,TULSA,OK,,HONOR ACADEMY(CHARTER)
COLLEGIATE HALL CHARTER SCHOOL,TULSA,OK,,COLLEGIATE HALL(CHARTER)
UPLIFT WILLIAMS PREPARATORY MIDDLE,DALLAS,TX,,UPLIFT EDUCATION
ACADEMY EL,LITTLE RIVER,TX,,ACADEMY INDEPENDENT SCHOOL DISTRICT
DREW ACADEMY,HOUSTON,TX,,ALDINE INDEPENDENT SCHOOL DISTRICT
ZAVALA EL,CRYSTAL CITY,TX,,CRYSTAL CITY INDEPENDENT SCHOOL DISTRICT
SUMMIT ACADEMY - BLUFFDALE,BLUFFDALE,UT,,SUMMIT ACADEMY
RIDGELINE HIGH SCHOOL,MILLVILLE,UT,,CACHE DISTRICT
RIVER ROCK SCHOOL,LEHI,UT,,ALPINE DISTRICT
SKYRIDGE HIGH SCHOOL,LEHI,UT,,ALPINE DISTRICT
S ST. PAUL COMMUNITY LRNG. CENTER.,SOUTH SAINT PAUL,MN,,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT
TRANSITION 15,ST. FRANCIS,MN,,ST. FRANCIS AREA SCHOOLS
GLENWOODELEMENTARYSCH & ACADEMY,GLENDALE HEIGHTS,IL,,COOP ASSOC FOR SPECIAL EDUCATIONUC
CHITIMACHA TRIBAL SCHOOL,JEANERETTE,LA,,CHITIMACHA TRIBAL SCHOOL
FOND DU LAC OJIBWE SCHOOL,CLOQUET,MN,,FOND DU LAC OJIBWE SCHOOL
MESKWAKI SETTLEMENT SCHOOL,TAMA,IA,,MESKWAKI SETTLEMENT SCHOOL
BUG-O-NAY-GE-SHIG,BENA,MN,,BUG-O-NAY-GE-SHIG SCHOOL
SEQUOYAH HIGH SCHOOL,TAHLEQUAH,OK,,SEQUOYAH HIGH SCHOOL
PREMIER HIGH SCHOOL AMERICAN YOUTHWORKS,AUSTIN,TX,,PREMIER HIGH SCHOOLS
OHIO CONNECTIONS ACADEMY INC,CLEVELAND,OH,,OHIO CONNECTIONS ACADEMY INC
VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,IVINS,UT,,VISTA SCHOOL
FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,JACKSONVILLE,FL,,OSCEOLA
PERRY COUNTY ALTERNATIVE CENTER,NEW AUGUSTA,MS,,PERRY CO SCHOOL DISTRICT
VIENNA ELEM.,VIENNA,MO,,MARIES CO. R-I
PORCUPINE DAY SCHOOL,PORCUPINE,SD,,PORCUPINE DAY SCHOOL
SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS,COLUMBUS,OH,,SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS
SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,DAYTON,OH,,SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON
OJO ENCINO DAY SCHOOL,CUBA,NM,,OJO ENCINO DAY SCHOOL
B W ROBINSON SCHOOL,ROLLA,MO,,MO SCHLS FOR THE SEV DISABLED
LAKE VALLEY NAVAJO SCHOOL,CROWNPOINT,NM,,LAKE VALLEY NAVAJO SCHOOL
NAVAJO PREPARATORY SCHOOL,FARMINGTON,NM,,NAVAJO PREPARATORY SCHOOL
RESPONSIVE EDUCATION VIRTUAL LEARNING,LEWISVILLE,TX,,TEXAS COLLEGE PREPARATORY ACADEMIES
EASTMONT COLUMBIA VIRTUAL ACADEMY,EAST WENATCHEE,WA,,EASTMONT SCHOOL DISTRICT
CENTRO RESIDENCIAL DE OPORTUNIDADES EDUCATIVAS DE CEIBA,CEIBA,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
NUEVA SUP CON DEPARTAMENTO VOCACIONAL,COROZAL,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
