name,city,state,website
LEO ELEMENTARY SCHOOL,LEO,IN,https://les.eacs.k12.in.us/
CASCADE SCHOOL,CASCADE,MT,https://www.cascade.k12.mt.us/
GAVIN CENTRAL ELEMENTARY SCHOOL,INGLESIDE,IL,https://www.gavin37.org/domain/32
BELLEVILLE HIGH SCHOOL-EAST,BELLEVILLE,IL,https://website.bths201.org/index.php/schools/east
WAWASEE MIDDLE SCHOOL,SYRACUSE,IN,https://www.wawasee.k12.in.us/wms
NORTH HILLSBOROUGH,HILLSBOROUGH,CA,https://www.hcsdk8.org/North
COLD SPRINGS SCHOOL,GLOUCESTER CITY,NJ,http://css.gcsd.k12.nj.us/
PS 99 ISAAC ASIMOV,BROOKLYN,NY,https://www.schools.nyc.gov/schools/K099
ROOSEVELT ELEMENTARY SCHOOL,BELLINGHAM,WA,https://roosevelt.osd.wednet.edu/
HONAUNAU ELEMENTARY SCHOOL,CAPTAIN COOK,HI,https://honaunauelementaryschool.weebly.com/
RIDLEY HS,FOLSOM,PA,http://ridleysdrhs.ss18.sharpschool.com/
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),BRONX,NY,https://www.bronxsoftware.org/
T W OGG EL,CLUTE,TX,https://www.brazosportisd.net/schools/t__w__ogg_elementary
DELAND-WELDON HIGH SCHOOL,DE LAND,IL,https://www.dwschools.org/
TRIMBLE HIGH SCHOOL,GLOUSTER,OH,https://www.trimble.k12.oh.us/
DESERT PINES HIGH SCHOOL,LAS VEGAS,NV,https://www.desertpineshs.org/
FALMOUTH ELEMENTARY SCHOOL,FALMOUTH,ME,http://falmouthschools.org/
VERNON L BARKSTALL ELEMENTARY SCH,CHAMPAIGN,IL,https://barkstall.champaignschools.org/
AVELLA AREA JSHS,AVELLA,PA,https://www.avellasd.org/
WILLIAM FOSTER ELEMENTARY SCHOOL,GARFIELD HEIGHTS,OH,https://www.garfieldheightscityschools.com/williamfosterelementary_home.aspx
IUKA COMM CONS SCHOOL,IUKA,IL,https://www.iukaschool.com/vnews/display.v/SEC/District
TROY SHOREWOOD SCHOOL,SHOREWOOD,IL,https://www.troy30c.org/shorewood
PS 46 ALLEY POND,BAYSIDE,NY,https://www.schools.nyc.gov/schools/Q046
ROY W. BROWN MIDDLE SCHOOL,BERGENFIELD,NJ,https://www.bergenfield.org/domain/118
S T E M ACADEMY,CALUMET CITY,IL,https://stemmagnetacademy.com/
PEQUEA VALLEY HS,KINZERS,PA,https://www.pequeavalley.org/Domain/206
LYDIA MIDDLETON ELEMENTARY SCHOOL,MADISON,IN,https://www.madison.k12.in.us/lydia-home
MILLIKIN ELEM SCHOOL,GENESEO,IL,https://geneseoschools.org/milikin/
T. BALDWIN DEMAREST ELEMENTARY SCHOOL,OLD TAPPAN,NJ,https://tbd.oldtappanschools.org/
MINI-CASSIA JUVENILE DETENTION CENTER,RUPERT,ID,https://www.minidoka.id.us/219/Juvenile-Detention
PS 184 FLUSHING MANOR,WHITESTONE,NY,https://ps184q.com/
NORTHEAST MS,READING,PA,https://www.nesd1.org/schools/nems/index
JOSEPH KEELS ELEMENTARY,COLUMBIA,SC,https://www.richland2.org/JKE
OCEAN VIEW ELEMENTARY,NORFOLK,VA,https://www.npsk12.com/oves
BRIDGE STREET MIDDLE SCHOOL,WHEELING,WV,https://bsms.ohio.k12.wv.us/
PURPLE SAGE ELEMENTARY,CALDWELL,ID,https://www.msd134.org/Domain/10
PAUL L DUNBAR ELEMENTARY SCHOOL,CLEVELAND,OH,https://www.clevelandmetroschools.org/dunbar
LINCOLNWAY EL SCH,YORK,PA,https://www.wyasd.org/lincolnway-elementary
MOSES LAKE HIGH SCHOOL,MOSES LAKE,WA,https://mlhs.mlsd161.org/
MERIDIAN SPECIAL PROGRAMS,BELLINGHAM,WA,https://www.meridian.wednet.edu/special-education/
CRUZ ROSA RIVAS,MANATI,PR,"https://puertorico.hometownlocator.com/maps/feature-map,ftc,2,fid,1610392,n,escuela%20cruz%20rosa%20rivas.cfm"
BOND ELEM SCHOOL,CHICAGO,IL,https://www.bondelementary.org/
CLEAR SPRING MIDDLE,CLEAR SPRING,MD,http://wcpsmd.com/schools/middle-schools/clear-spring-middle
BURR OAK ACADEMY,CALUMET PARK,IL,https://www.sd132.org/boa
DU QUOIN HIGH SCHOOL,DU QUOIN,IL,https://www.duquoinschools.org/
KNIGHT ELEMENTARY,RANDALL,MN,https://www.lfalls.k12.mn.us/dr-knight/
EAST COLUMBUS ELEMENTARY SCHOOL,COLUMBUS,OH,https://www.ccsoh.us/eastcolumbuses
GROVER HILL ELEMENTARY SCHOOL,GROVER HILL,OH,https://www.waynetrace.org/groverhillelementary_home.aspx
HANSEN JR/SR HIGH SCHOOL,HANSEN,ID,https://www.hansenschools.org/schools/hs
MARY E FLAHERTY SCHOOL,BRAINTREE,MA,https://www.braintreeschools.org/flaherty
VICTOR ELEMENTARY SCHOOL,VICTOR,ID,https://ves.tsd401.org/
TAYLORVILLE JR HIGH SCHOOL,TAYLORVILLE,IL,http://tcusd3tjhs.ss19.sharpschool.com/
TETON HIGH SCHOOL,DRIGGS,ID,https://ths.tsd401.org/
NORTHEAST ELEMENTARY SCHOOL,UPPER MONTCLAIR,NJ,https://northeast.montclair.k12.nj.us/
JOHN F. PATTIE SR. ELEMENTARY,DUMFRIES,VA,https://pattiees.pwcs.edu/
EASTERN ELEMENTARY SCHOOL,LEXINGTON,OH,https://www.easternlocal.com/1/Home
HERBERICH PRIMARY ELEMENTARY SCHOOL,FAIRLAWN,OH,https://www.copley-fairlawn.org/Domain/282
