property_id,physical_address,book,page,sale_date,sale_price,county,state,source_url,zip5
440776241900,NC 258 (JONES 1),393,662,2017-12-18 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440776241900.PDF,
440766769300,LENOIR COUNTY LINE,393,662,2017-12-18 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440766769300.PDF,
440766402400,LENOIR COUNTY LINE,393,662,2017-12-15 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440766402400.PDF,
440755211400,LENOIR COUNTY LINE,393,662,2017-12-18 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440755211400.PDF,
440775325000,2339 HWY 258,181,265,1984-11-15 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440775325000.PDF,
440754421600,OFF NC 258 (JONES #1),393,662,2017-12-18 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440754421600.PDF,
440733752200,OFF NC 258 (478),266,7400,2000-12-21 00:00:00,1421000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440733752200.PDF,
440753748700,OFF NC 258 (488),266,7400,2000-12-21 00:00:00,1421000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440753748700.PDF,
440713858400,OFF SR 1148,393,662,2017-12-18 00:00:00,845000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440713858400.PDF,
440773820300,SR 1149 & NC 258,343,721,2010-06-07 00:00:00,9500,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440773820300.PDF,
440773035500,2156 HWY 258,337,686,2009-07-07 00:00:00,5500,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440773035500.PDF,
440762593600,2135 HWY 258,393,684,2017-12-28 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440762593600.PDF,
440792936600,2115 HWY 258,354,194,2012-01-04 00:00:00,72,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440792936600.PDF,
440762571700,OFF NC 258,172,151,1984-11-15 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440762571700.PDF,
440762457100,2121 HWY 258,172,145,1976-10-14 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440762457100.PDF,
440762516500,NC 258,172,149,1976-10-14 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440762516500.PDF,
440782504600,2039 HWY 258,173,417,1977-04-22 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440782504600.PDF,
440772628100,2052 HWY 258,369,829,2014-04-14 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_440772628100.PDF,
348642588600,3032 POTTERS HILL RD,371,594,2014-07-21 00:00:00,75000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_348642588600.PDF,
349649305500,OFF SR 1146,350,43,2011-05-04 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349649305500.PDF,
349648646800,1743 WATERING POND RD,380,711,2015-06-25 00:00:00,20500,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349648646800.PDF,
349678370000,1652 WATERING POND RD,260,584,2000-01-06 00:00:00,15000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349678370000.PDF,
349668859700,OFF WATERING POND RD,260,947,2000-01-27 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349668859700.PDF,
349678343600,SR 1146/WATERING POND RD,266,182,2000-10-11 00:00:00,9000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349678343600.PDF,
349668726200,1640 WATERING POND RD,215,903,1991-04-25 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349668726200.PDF,
349658629100,1667 WATERING POND RD,200,891,1986-11-20 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349658629100.PDF,
349667841900,SR 1146,181,372,1980-03-20 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349667841900.PDF,
349647893200,SR 1146,214,945,1991-01-16 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349647893200.PDF,
349647879600,SR 1146,277,964,2002-07-18 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349647879600.PDF,
349647964100,SR 1146,265,843,2000-10-23 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349647964100.PDF,
349657153100,1605 WATERING POND RD,333,458,2008-11-24 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349657153100.PDF,
349657139000,SR 1146,366,260,2013-09-19 00:00:00,32500,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349657139000.PDF,
349667233900,1561 WATERING POND RD,174,889,1984-11-20 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349667233900.PDF,
349636983600,OFF SR 1146,321,448,2007-06-08 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349636983600.PDF,
349657301000,SR 1146,214,982,1991-01-22 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349657301000.PDF,
349656740400,SR 1146,242,395,1997-01-09 00:00:00,50000,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349656740400.PDF,
349626753100,OFF SR 1146,366,287,2013-09-20 00:00:00,0,Jones,NC,http://dl.agd.cc/prc/nc/jones/CA328NC_349626753100.PDF,
