name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
CAJUN CHICKEN SUB SMALL,FIREHOUSE SUBS,NATIONAL,363,17,63,1375,28,2,3,23
CAJUN CHICKEN SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,708,34,125,2438,54,3,5,46
CAJUN CHICKEN SUB LARGE,FIREHOUSE SUBS,NATIONAL,1170,54,233,4062,92,5,11,85
CHICKEN BREAST SUB SMALL,FIREHOUSE SUBS,NATIONAL,372,18,61,1202,29,2,4,23
CHICKEN BREAST SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,718,36,110,1992,56,4,7,43
CHICKEN BREAST SUB LARGE,FIREHOUSE SUBS,NATIONAL,1166,55,205,3328,93,6,12,78
CHICKEN GYRO HERO SMALL,FIREHOUSE SUBS,NATIONAL,404,22,64,1012,29,2,3,22
CHICKEN GYRO HERO MEDIUM,FIREHOUSE SUBS,NATIONAL,808,43,128,2024,58,4,5,45
CHICKEN GYRO HERO LARGE,FIREHOUSE SUBS,NATIONAL,1309,67,238,3586,95,6,10,83
CLUB ON A SUB SMALL,FIREHOUSE SUBS,NATIONAL,387,20,43,1170,32,2,8,20
CLUB ON A SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,768,40,87,2040,63,4,15,40
CLUB ON A SUB LARGE,FIREHOUSE SUBS,NATIONAL,1368,71,175,3737,110,6,29,79
CORNED BEEF SUB SMALL,FIREHOUSE SUBS,NATIONAL,373,19,46,1272,27,2,4,23
CORNED BEEF SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,740,38,91,2245,54,4,7,45
CORNED BEEF SUB LARGE,FIREHOUSE SUBS,NATIONAL,1129,58,137,3317,89,6,12,68
ENGINEER SUB SMALL,FIREHOUSE SUBS,NATIONAL,346,17,33,1147,30,3,5,19
ENGINEER SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,687,35,66,2025,60,6,9,38
ENGINEER SUB LARGE,FIREHOUSE SUBS,NATIONAL,1102,53,115,3474,101,9,16,68
HAM SUB SMALL,FIREHOUSE SUBS,NATIONAL,383,18,35,1151,36,2,11,19
HAM SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,760,37,71,2002,70,4,21,37
HAM SUB LARGE,FIREHOUSE SUBS,NATIONAL,1159,56,106,2953,114,6,34,56
HERO SMALL,FIREHOUSE SUBS,NATIONAL,403,18,46,1318,33,2,8,24
HERO MEDIUM,FIREHOUSE SUBS,NATIONAL,799,37,92,2335,64,4,15,48
HERO LARGE,FIREHOUSE SUBS,NATIONAL,1199,57,127,3286,108,6,28,68
HOOK LADDER SUB SMALL,FIREHOUSE SUBS,NATIONAL,362,18,38,1100,32,2,8,18
HOOK LADDER SUB MEDIUM,FIREHOUSE SUBS,NATIONAL,718,36,76,1901,63,4,15,36
HOOK LADDER SUB LARGE,FIREHOUSE SUBS,NATIONAL,1134,55,128,3083,103,5,26,62
ITALIAN SUB SMALL,FIREHOUSE SUBS,NATIONAL,473,29,50,1491,33,2,8,20
