total,id,snapshot_date,source_url
645,STABS3cd9ac0546946fb2,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
996,STABS3a8c33e03053b282,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
143,STABSb1427537aac4d1fd,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
812,STABSfc5a06ae674e94b6,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
99,STABS9fbd9ec566847e1c,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
1837,STABSd576723657f2f73e,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
425,STABSa73423ef9309c8dd,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
54,STABSdf1c65bab69ded64,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
556,STABSf2b0f8a2a5c742d8,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
126,STABS5d237e65d4a04024,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
1009,STABSe06035c4207ed7b8,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
1719,STABS3856e14263347972,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
1422,STABS99c4b96435084a79,2017-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/FY17_Statistical_Information_Trends_FINAL.pdf
325,STABS53bbbd6a746cd3f0,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1832,STABS9c3b3229843bf946,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
616,STABSb72b6999eb188beb,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1662,STABS3c627a8033b2a487,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
575,STABS319d5ee61f030f31,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1073,STABSf9ca3ac9c2b320fb,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
617,STABS3cd9ac0546946fb2,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
976,STABS3a8c33e03053b282,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
135,STABSb1427537aac4d1fd,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
826,STABSfc5a06ae674e94b6,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
