provider_group_hash,price_hash
14296987479548562248,8238614626210938783
14296987479548562248,8238614626210938783
14296987479548562248,17839268972329019228
14296987479548562248,17839268972329019228
14296987479548562248,8238614626210938783
14296987479548562248,17839268972329019228
18174951086053504949,5691892973611408445
1991276279838469999,15265386346302968397
14570992740657493263,9996221924386096075
15843865875847057823,12444878730226992259
299928958100645291,12444878730226992259
18026366511673813290,12444878730226992259
16665668117120544067,12824164896915041918
113802120227051377,16799583060879228365
14759466172565751975,5510109141361176365
10804414637681494211,5510109141361176365
14505861112915487106,5510109141361176365
5984509183511262202,5510109141361176365
4038207934484252271,12824164896915041918
12020672982894290269,10103354169015091904
5369381861280952067,2608579448427959442
8302328924442217438,5510109141361176365
3865737513347190278,12824164896915041918
1559530874989720074,5746280940364111132
5089279781680490378,16799583060879228365
15948269447035981372,5510109141361176365
9179364159279235213,5510109141361176365
4657910087033540007,12824164896915041918
1559530874989720074,5746280940364111132
1576573626976636902,5746280940364111132
3441661774439738193,5746280940364111132
9223679259001871609,5691892973611408445
13195525730211919719,15740117566287870911
16780419818522723860,12824164896915041918
1762997650552310437,1348400689864824624
16673511487144139578,15265386346302968397
17587869786253254559,5510109141361176365
14899245309224014059,12089659359577691046
18333770855485718577,9462501206367025395
167289341783242597,9462501206367025395
14791668705629951152,15265386346302968397
9139092121103073605,12415970741146221284
11955683914772728725,12824164896915041918
2496426505951428473,12852293813654630749
7180502550506011325,5510109141361176365
11086250699873897378,12824164896915041918
5142594974321558057,12824164896915041918
9200189329545551527,2226710417438166255
1569211676137281080,5510109141361176365
12797029838770632797,12824164896915041918
18174951086053504949,5691892973611408445
1991276279838469999,15265386346302968397
14570992740657493263,9996221924386096075
15843865875847057823,12444878730226992259
299928958100645291,12444878730226992259
18026366511673813290,12444878730226992259
16665668117120544067,12824164896915041918
113802120227051377,16799583060879228365
14759466172565751975,5510109141361176365
10804414637681494211,5510109141361176365
14505861112915487106,5510109141361176365
5984509183511262202,5510109141361176365
4038207934484252271,12824164896915041918
12020672982894290269,10103354169015091904
5369381861280952067,2608579448427959442
8302328924442217438,5510109141361176365
3865737513347190278,12824164896915041918
1559530874989720074,5746280940364111132
5089279781680490378,16799583060879228365
15948269447035981372,5510109141361176365
9179364159279235213,5510109141361176365
4657910087033540007,12824164896915041918
1559530874989720074,5746280940364111132
1576573626976636902,5746280940364111132
3441661774439738193,5746280940364111132
9223679259001871609,5691892973611408445
13195525730211919719,15740117566287870911
16780419818522723860,12824164896915041918
1762997650552310437,1348400689864824624
16673511487144139578,15265386346302968397
17587869786253254559,5510109141361176365
14899245309224014059,12089659359577691046
18333770855485718577,9462501206367025395
167289341783242597,9462501206367025395
14791668705629951152,15265386346302968397
9139092121103073605,12415970741146221284
11955683914772728725,12824164896915041918
2496426505951428473,12852293813654630749
7180502550506011325,5510109141361176365
11086250699873897378,12824164896915041918
5142594974321558057,12824164896915041918
9200189329545551527,2226710417438166255
1569211676137281080,5510109141361176365
12797029838770632797,12824164896915041918
10804414637681494211,14486676887854689330
16780419818522723860,2361916286515148558
14570992740657493263,12312104007631980481
11955683914772728725,2361916286515148558
1569211676137281080,14486676887854689330
9179364159279235213,14486676887854689330
3865737513347190278,2361916286515148558
11681307950572297604,14690583531866646126
14791668705629951152,5475664685304597676
3834368096452892410,12322122404711238290
969747930841591575,12322122404711238290
4038207934484252271,2361916286515148558
18026366511673813290,16521881525741870530
299928958100645291,16521881525741870530
15843865875847057823,16521881525741870530
14505861112915487106,14486676887854689330
5984509183511262202,14486676887854689330
113802120227051377,13721810191808596924
18174951086053504949,13243945681831005364
3441661774439738193,2695913159921099108
1559530874989720074,2695913159921099108
1576573626976636902,2695913159921099108
14899245309224014059,13824294345028324535
1991276279838469999,5475664685304597676
9223679259001871609,13243945681831005364
17587869786253254559,14486676887854689330
9200189329545551527,2639134189230940818
16673511487144139578,5475664685304597676
7180502550506011325,14486676887854689330
8985079847344304022,18037645216802022560
15533412318927758142,14486676887854689330
14759466172565751975,14486676887854689330
13195525730211919719,10497650227575526516
8302328924442217438,14486676887854689330
1762997650552310437,9688716012739011315
5142594974321558057,2361916286515148558
5369381861280952067,6462413339729456634
16614850288435199720,14486676887854689330
18333770855485718577,8832778630237106596
167289341783242597,8832778630237106596
9139092121103073605,270561915928201101
1693489351835304135,2361916286515148558
12020672982894290269,4550006012602557641
3834368096452892410,12322122404711238290
8898708787571930119,12322122404711238290
7009835812170890516,12322122404711238290
969747930841591575,12322122404711238290
16665668117120544067,2361916286515148558
5089279781680490378,13721810191808596924
11086250699873897378,2361916286515148558
1559530874989720074,2695913159921099108
12797029838770632797,2361916286515148558
15948269447035981372,14486676887854689330
4657910087033540007,2361916286515148558
1175373420430801827,2361916286515148558
6760807325239960144,2361916286515148558
10804414637681494211,14486676887854689330
16780419818522723860,2361916286515148558
14570992740657493263,12312104007631980481
11955683914772728725,2361916286515148558
1569211676137281080,14486676887854689330
9179364159279235213,14486676887854689330
3865737513347190278,2361916286515148558
11681307950572297604,14690583531866646126
14791668705629951152,5475664685304597676
3834368096452892410,12322122404711238290
969747930841591575,12322122404711238290
4038207934484252271,2361916286515148558
18026366511673813290,16521881525741870530
299928958100645291,16521881525741870530
15843865875847057823,16521881525741870530
14505861112915487106,14486676887854689330
5984509183511262202,14486676887854689330
113802120227051377,13721810191808596924
18174951086053504949,13243945681831005364
3441661774439738193,2695913159921099108
1559530874989720074,2695913159921099108
1576573626976636902,2695913159921099108
14899245309224014059,13824294345028324535
1991276279838469999,5475664685304597676
9223679259001871609,13243945681831005364
17587869786253254559,14486676887854689330
9200189329545551527,2639134189230940818
16673511487144139578,5475664685304597676
7180502550506011325,14486676887854689330
8985079847344304022,18037645216802022560
15533412318927758142,14486676887854689330
14759466172565751975,14486676887854689330
13195525730211919719,10497650227575526516
8302328924442217438,14486676887854689330
1762997650552310437,9688716012739011315
5142594974321558057,2361916286515148558
5369381861280952067,6462413339729456634
16614850288435199720,14486676887854689330
18333770855485718577,8832778630237106596
167289341783242597,8832778630237106596
9139092121103073605,270561915928201101
1693489351835304135,2361916286515148558
12020672982894290269,4550006012602557641
3834368096452892410,12322122404711238290
8898708787571930119,12322122404711238290
7009835812170890516,12322122404711238290
969747930841591575,12322122404711238290
16665668117120544067,2361916286515148558
5089279781680490378,13721810191808596924
11086250699873897378,2361916286515148558
1559530874989720074,2695913159921099108
12797029838770632797,2361916286515148558
15948269447035981372,14486676887854689330
4657910087033540007,2361916286515148558
1175373420430801827,2361916286515148558
6760807325239960144,2361916286515148558
18174951086053504949,5691892973611408445
1991276279838469999,15265386346302968397
14570992740657493263,9996221924386096075
15843865875847057823,12444878730226992259
299928958100645291,12444878730226992259
18026366511673813290,12444878730226992259
16665668117120544067,12824164896915041918
113802120227051377,16799583060879228365
14759466172565751975,5510109141361176365
10804414637681494211,5510109141361176365
14505861112915487106,5510109141361176365
5984509183511262202,5510109141361176365
4038207934484252271,12824164896915041918
12020672982894290269,10103354169015091904
5369381861280952067,2608579448427959442
8302328924442217438,5510109141361176365
3865737513347190278,12824164896915041918
1559530874989720074,5746280940364111132
5089279781680490378,16799583060879228365
15948269447035981372,5510109141361176365
9179364159279235213,5510109141361176365
4657910087033540007,12824164896915041918
1559530874989720074,5746280940364111132
1576573626976636902,5746280940364111132
3441661774439738193,5746280940364111132
9223679259001871609,5691892973611408445
13195525730211919719,15740117566287870911
16780419818522723860,12824164896915041918
1762997650552310437,1348400689864824624
16673511487144139578,15265386346302968397
17587869786253254559,5510109141361176365
14899245309224014059,12089659359577691046
18333770855485718577,9462501206367025395
167289341783242597,9462501206367025395
14791668705629951152,15265386346302968397
9139092121103073605,12415970741146221284
11955683914772728725,12824164896915041918
2496426505951428473,12852293813654630749
7180502550506011325,5510109141361176365
11086250699873897378,12824164896915041918
5142594974321558057,12824164896915041918
9200189329545551527,2226710417438166255
1569211676137281080,5510109141361176365
12797029838770632797,12824164896915041918
9200189329545551527,2033664709944694992
12020672982894290269,13223277313992262622
1559530874989720074,9246606734480643443
9223679259001871609,2417574461450346902
8302328924442217438,15505542673419291740
18174951086053504949,2417574461450346902
17587869786253254559,15505542673419291740
11955683914772728725,18133738412871332008
11086250699873897378,18133738412871332008
13195525730211919719,7955837688712789614
1559530874989720074,9246606734480643443
1576573626976636902,9246606734480643443
3441661774439738193,9246606734480643443
15948269447035981372,15505542673419291740
18333770855485718577,4517369005285531705
167289341783242597,4517369005285531705
1762997650552310437,6934035492244845215
9139092121103073605,8642168073472251654
2496426505951428473,2139965949909193742
16780419818522723860,18133738412871332008
1991276279838469999,1183536702393791384
12797029838770632797,18133738412871332008
3865737513347190278,18133738412871332008
5369381861280952067,4909651548468457327
14759466172565751975,15505542673419291740
14791668705629951152,1183536702393791384
7180502550506011325,15505542673419291740
4657910087033540007,18133738412871332008
15843865875847057823,17816917935449147027
299928958100645291,17816917935449147027
18026366511673813290,17816917935449147027
14505861112915487106,15505542673419291740
5984509183511262202,15505542673419291740
16673511487144139578,1183536702393791384
10804414637681494211,15505542673419291740
1569211676137281080,15505542673419291740
14899245309224014059,3400141260870982781
16665668117120544067,18133738412871332008
5089279781680490378,6070936982917553586
9179364159279235213,15505542673419291740
113802120227051377,6070936982917553586
14570992740657493263,11758932822801636141
5142594974321558057,18133738412871332008
4038207934484252271,18133738412871332008
14296987479548562248,8238614626210938783
14296987479548562248,17839268972329019228
9200189329545551527,2033664709944694992
12020672982894290269,13223277313992262622
1559530874989720074,9246606734480643443
9223679259001871609,2417574461450346902
8302328924442217438,15505542673419291740
18174951086053504949,2417574461450346902
17587869786253254559,15505542673419291740
11955683914772728725,18133738412871332008
11086250699873897378,18133738412871332008
13195525730211919719,7955837688712789614
1559530874989720074,9246606734480643443
1576573626976636902,9246606734480643443
3441661774439738193,9246606734480643443
15948269447035981372,15505542673419291740
18333770855485718577,4517369005285531705
167289341783242597,4517369005285531705
1762997650552310437,6934035492244845215
9139092121103073605,8642168073472251654
2496426505951428473,2139965949909193742
16780419818522723860,18133738412871332008
1991276279838469999,1183536702393791384
12797029838770632797,18133738412871332008
3865737513347190278,18133738412871332008
5369381861280952067,4909651548468457327
14759466172565751975,15505542673419291740
14791668705629951152,1183536702393791384
7180502550506011325,15505542673419291740
4657910087033540007,18133738412871332008
15843865875847057823,17816917935449147027
299928958100645291,17816917935449147027
18026366511673813290,17816917935449147027
14505861112915487106,15505542673419291740
5984509183511262202,15505542673419291740
16673511487144139578,1183536702393791384
10804414637681494211,15505542673419291740
1569211676137281080,15505542673419291740
14899245309224014059,3400141260870982781
16665668117120544067,18133738412871332008
5089279781680490378,6070936982917553586
9179364159279235213,15505542673419291740
113802120227051377,6070936982917553586
14570992740657493263,11758932822801636141
5142594974321558057,18133738412871332008
4038207934484252271,18133738412871332008
10804414637681494211,14486676887854689330
16780419818522723860,2361916286515148558
14570992740657493263,12312104007631980481
11955683914772728725,2361916286515148558
1569211676137281080,14486676887854689330
9179364159279235213,14486676887854689330
3865737513347190278,2361916286515148558
11681307950572297604,14690583531866646126
14791668705629951152,5475664685304597676
3834368096452892410,12322122404711238290
969747930841591575,12322122404711238290
4038207934484252271,2361916286515148558
18026366511673813290,16521881525741870530
299928958100645291,16521881525741870530
15843865875847057823,16521881525741870530
14505861112915487106,14486676887854689330
5984509183511262202,14486676887854689330
113802120227051377,13721810191808596924
18174951086053504949,13243945681831005364
3441661774439738193,2695913159921099108
1559530874989720074,2695913159921099108
1576573626976636902,2695913159921099108
14899245309224014059,13824294345028324535
1991276279838469999,5475664685304597676
9223679259001871609,13243945681831005364
17587869786253254559,14486676887854689330
9200189329545551527,2639134189230940818
16673511487144139578,5475664685304597676
7180502550506011325,14486676887854689330
8985079847344304022,18037645216802022560
15533412318927758142,14486676887854689330
14759466172565751975,14486676887854689330
13195525730211919719,10497650227575526516
8302328924442217438,14486676887854689330
1762997650552310437,9688716012739011315
5142594974321558057,2361916286515148558
5369381861280952067,6462413339729456634
16614850288435199720,14486676887854689330
18333770855485718577,8832778630237106596
167289341783242597,8832778630237106596
9139092121103073605,270561915928201101
1693489351835304135,2361916286515148558
12020672982894290269,4550006012602557641
3834368096452892410,12322122404711238290
8898708787571930119,12322122404711238290
7009835812170890516,12322122404711238290
969747930841591575,12322122404711238290
16665668117120544067,2361916286515148558
5089279781680490378,13721810191808596924
11086250699873897378,2361916286515148558
1559530874989720074,2695913159921099108
12797029838770632797,2361916286515148558
15948269447035981372,14486676887854689330
4657910087033540007,2361916286515148558
1175373420430801827,2361916286515148558
6760807325239960144,2361916286515148558
5089279781680490378,13030339783765228440
4657910087033540007,16734112943375010043
14759466172565751975,5391223191218582624
18174951086053504949,9321636256341504299
5142594974321558057,16734112943375010043
16673511487144139578,11975887584648492454
16665668117120544067,16734112943375010043
8302328924442217438,5391223191218582624
9139092121103073605,8104944075076543561
18026366511673813290,12026522727284860523
299928958100645291,12026522727284860523
15843865875847057823,12026522727284860523
4038207934484252271,16734112943375010043
5369381861280952067,17485251978886313412
9179364159279235213,5391223191218582624
12797029838770632797,16734112943375010043
1569211676137281080,5391223191218582624
1991276279838469999,11975887584648492454
11681307950572297604,3320232777105728649
3865737513347190278,16734112943375010043
1762997650552310437,12667312352388179099
15948269447035981372,5391223191218582624
113802120227051377,13030339783765228440
14505861112915487106,5391223191218582624
5984509183511262202,5391223191218582624
1693489351835304135,16734112943375010043
16780419818522723860,16734112943375010043
9200189329545551527,10120168665158833273
10804414637681494211,5391223191218582624
9223679259001871609,9321636256341504299
3441661774439738193,6403373542635469537
1559530874989720074,6403373542635469537
1576573626976636902,6403373542635469537
14791668705629951152,11975887584648492454
8985079847344304022,5287075894948599824
3834368096452892410,2395925982170783375
8898708787571930119,2395925982170783375
7009835812170890516,2395925982170783375
969747930841591575,2395925982170783375
14899245309224014059,15640873497482796139
15533412318927758142,5391223191218582624
18333770855485718577,2439530934385525950
167289341783242597,2439530934385525950
1559530874989720074,6403373542635469537
13195525730211919719,14067782453432660320
11955683914772728725,16734112943375010043
7180502550506011325,5391223191218582624
3834368096452892410,2395925982170783375
969747930841591575,2395925982170783375
14570992740657493263,16948020003602981943
11086250699873897378,16734112943375010043
16614850288435199720,5391223191218582624
17587869786253254559,5391223191218582624
12020672982894290269,6401632882141630665
1175373420430801827,16734112943375010043
6760807325239960144,16734112943375010043
5089279781680490378,13030339783765228440
4657910087033540007,16734112943375010043
14759466172565751975,5391223191218582624
18174951086053504949,9321636256341504299
5142594974321558057,16734112943375010043
16673511487144139578,11975887584648492454
16665668117120544067,16734112943375010043
8302328924442217438,5391223191218582624
9139092121103073605,8104944075076543561
18026366511673813290,12026522727284860523
299928958100645291,12026522727284860523
15843865875847057823,12026522727284860523
4038207934484252271,16734112943375010043
5369381861280952067,17485251978886313412
9179364159279235213,5391223191218582624
12797029838770632797,16734112943375010043
1569211676137281080,5391223191218582624
1991276279838469999,11975887584648492454
11681307950572297604,3320232777105728649
3865737513347190278,16734112943375010043
1762997650552310437,12667312352388179099
15948269447035981372,5391223191218582624
113802120227051377,13030339783765228440
14505861112915487106,5391223191218582624
5984509183511262202,5391223191218582624
1693489351835304135,16734112943375010043
16780419818522723860,16734112943375010043
9200189329545551527,10120168665158833273
10804414637681494211,5391223191218582624
9223679259001871609,9321636256341504299
3441661774439738193,6403373542635469537
1559530874989720074,6403373542635469537
1576573626976636902,6403373542635469537
14791668705629951152,11975887584648492454
8985079847344304022,5287075894948599824
3834368096452892410,2395925982170783375
8898708787571930119,2395925982170783375
7009835812170890516,2395925982170783375
969747930841591575,2395925982170783375
14899245309224014059,15640873497482796139
15533412318927758142,5391223191218582624
18333770855485718577,2439530934385525950
167289341783242597,2439530934385525950
1559530874989720074,6403373542635469537
13195525730211919719,14067782453432660320
11955683914772728725,16734112943375010043
7180502550506011325,5391223191218582624
3834368096452892410,2395925982170783375
969747930841591575,2395925982170783375
14570992740657493263,16948020003602981943
11086250699873897378,16734112943375010043
16614850288435199720,5391223191218582624
17587869786253254559,5391223191218582624
12020672982894290269,6401632882141630665
1175373420430801827,16734112943375010043
6760807325239960144,16734112943375010043
14759466172565751975,6701435186568338997
10804414637681494211,6701435186568338997
11086250699873897378,8228162100404070115
1762997650552310437,8869616938186221827
12797029838770632797,8228162100404070115
9179364159279235213,6701435186568338997
9139092121103073605,18419965956839026798
12020672982894290269,12122591664743345854
14899245309224014059,2756624238429861611
5369381861280952067,7266341101250954402
15843865875847057823,16176244458813629141
299928958100645291,16176244458813629141
18026366511673813290,16176244458813629141
18174951086053504949,11129001671337497361
9223679259001871609,11129001671337497361
1569211676137281080,6701435186568338997
5089279781680490378,1894574614189865734
11955683914772728725,8228162100404070115
1559530874989720074,252638968065167208
1576573626976636902,252638968065167208
3441661774439738193,252638968065167208
1991276279838469999,1116656345149137075
1559530874989720074,252638968065167208
2496426505951428473,15521401483978615545
4038207934484252271,8228162100404070115
14570992740657493263,18408042201084078
13195525730211919719,8486972786153412591
16780419818522723860,8228162100404070115
15948269447035981372,6701435186568338997
4657910087033540007,8228162100404070115
3865737513347190278,8228162100404070115
17587869786253254559,6701435186568338997
7180502550506011325,6701435186568338997
113802120227051377,1894574614189865734
14505861112915487106,6701435186568338997
5984509183511262202,6701435186568338997
5142594974321558057,8228162100404070115
9200189329545551527,10181105990786142165
14791668705629951152,1116656345149137075
16673511487144139578,1116656345149137075
16665668117120544067,8228162100404070115
18333770855485718577,626014923853674372
167289341783242597,626014923853674372
8302328924442217438,6701435186568338997
9200189329545551527,2033664709944694992
12020672982894290269,13223277313992262622
1559530874989720074,9246606734480643443
9223679259001871609,2417574461450346902
8302328924442217438,15505542673419291740
18174951086053504949,2417574461450346902
17587869786253254559,15505542673419291740
11955683914772728725,18133738412871332008
11086250699873897378,18133738412871332008
13195525730211919719,7955837688712789614
1559530874989720074,9246606734480643443
1576573626976636902,9246606734480643443
3441661774439738193,9246606734480643443
15948269447035981372,15505542673419291740
18333770855485718577,4517369005285531705
167289341783242597,4517369005285531705
1762997650552310437,6934035492244845215
18174951086053504949,5691892973611408445
9139092121103073605,8642168073472251654
1991276279838469999,15265386346302968397
2496426505951428473,2139965949909193742
14570992740657493263,9996221924386096075
16780419818522723860,18133738412871332008
15843865875847057823,12444878730226992259
299928958100645291,12444878730226992259
18026366511673813290,12444878730226992259
1991276279838469999,1183536702393791384
16665668117120544067,12824164896915041918
12797029838770632797,18133738412871332008
113802120227051377,16799583060879228365
3865737513347190278,18133738412871332008
14759466172565751975,5510109141361176365
5369381861280952067,4909651548468457327
10804414637681494211,5510109141361176365
14759466172565751975,15505542673419291740
14505861112915487106,5510109141361176365
5984509183511262202,5510109141361176365
14791668705629951152,1183536702393791384
4038207934484252271,12824164896915041918
7180502550506011325,15505542673419291740
12020672982894290269,10103354169015091904
4657910087033540007,18133738412871332008
5369381861280952067,2608579448427959442
15843865875847057823,17816917935449147027
299928958100645291,17816917935449147027
18026366511673813290,17816917935449147027
8302328924442217438,5510109141361176365
14505861112915487106,15505542673419291740
5984509183511262202,15505542673419291740
3865737513347190278,12824164896915041918
16673511487144139578,1183536702393791384
1559530874989720074,5746280940364111132
10804414637681494211,15505542673419291740
5089279781680490378,16799583060879228365
1569211676137281080,15505542673419291740
15948269447035981372,5510109141361176365
14899245309224014059,3400141260870982781
9179364159279235213,5510109141361176365
16665668117120544067,18133738412871332008
4657910087033540007,12824164896915041918
5089279781680490378,6070936982917553586
1559530874989720074,5746280940364111132
1576573626976636902,5746280940364111132
3441661774439738193,5746280940364111132
9179364159279235213,15505542673419291740
9223679259001871609,5691892973611408445
113802120227051377,6070936982917553586
13195525730211919719,15740117566287870911
14570992740657493263,11758932822801636141
16780419818522723860,12824164896915041918
5142594974321558057,18133738412871332008
1762997650552310437,1348400689864824624
4038207934484252271,18133738412871332008
16673511487144139578,15265386346302968397
17587869786253254559,5510109141361176365
14899245309224014059,12089659359577691046
18333770855485718577,9462501206367025395
167289341783242597,9462501206367025395
14791668705629951152,15265386346302968397
9139092121103073605,12415970741146221284
11955683914772728725,12824164896915041918
2496426505951428473,12852293813654630749
7180502550506011325,5510109141361176365
11086250699873897378,12824164896915041918
5142594974321558057,12824164896915041918
9200189329545551527,2226710417438166255
1569211676137281080,5510109141361176365
12797029838770632797,12824164896915041918
11086250699873897378,9183980967591739858
11955683914772728725,9183980967591739858
12797029838770632797,9183980967591739858
14759466172565751975,1395042449268298279
7180502550506011325,1395042449268298279
9179364159279235213,1395042449268298279
16665668117120544067,9183980967591739858
14899245309224014059,1463527111953009199
17587869786253254559,1395042449268298279
5369381861280952067,3748193441332408869
1569211676137281080,1395042449268298279
9200189329545551527,4465178475053537666
4038207934484252271,9183980967591739858
14570992740657493263,926490433117779386
9223679259001871609,10456326321104120088
113802120227051377,2975842574329270674
12020672982894290269,3109203048543919168
16673511487144139578,1208841823828590195
16780419818522723860,9183980967591739858
5142594974321558057,9183980967591739858
1559530874989720074,15375130968981673568
4657910087033540007,9183980967591739858
9139092121103073605,16722617613320775228
15948269447035981372,1395042449268298279
14759466172565751975,6701435186568338997
15843865875847057823,13960887344917475270
299928958100645291,13960887344917475270
18026366511673813290,13960887344917475270
10804414637681494211,6701435186568338997
14791668705629951152,1208841823828590195
11086250699873897378,8228162100404070115
18333770855485718577,6953308240428187431
167289341783242597,6953308240428187431
