filename_hash,code_hash,price_hash,billing_class,negotiated_type,service_code,expiration_date,additional_information,billing_code_modifier,negotiated_rate
626440289406050443,7975354242324159447,8238614626210938783,professional,negotiated,"[""11""]",9999-12-31,,,42.13
626440289406050443,7975354242324159447,8238614626210938783,professional,negotiated,"[""11""]",9999-12-31,,,42.13
626440289406050443,7620161014223743775,17839268972329019228,professional,negotiated,"[""11""]",9999-12-31,,,51.33
626440289406050443,7620161014223743775,17839268972329019228,professional,negotiated,"[""11""]",9999-12-31,,,51.33
626440289406050443,7975354242324159447,8238614626210938783,professional,negotiated,"[""11""]",9999-12-31,,,42.13
626440289406050443,7620161014223743775,17839268972329019228,professional,negotiated,"[""11""]",9999-12-31,,,51.33
8383968989332204873,133265192398176291,5691892973611408445,professional,negotiated,"[""11""]",9999-12-31,,,931.29
8383968989332204873,133265192398176291,15265386346302968397,professional,negotiated,"[""11""]",9999-12-31,,,503.4
8383968989332204873,133265192398176291,9996221924386096075,professional,negotiated,"[""11""]",9999-12-31,,,729.93
8383968989332204873,133265192398176291,12444878730226992259,professional,negotiated,"[""11""]",9999-12-31,,,1308.84
8383968989332204873,133265192398176291,12824164896915041918,professional,negotiated,"[""11""]",9999-12-31,,,211.43
8383968989332204873,133265192398176291,16799583060879228365,professional,negotiated,"[""11""]",9999-12-31,,,604.08
8383968989332204873,133265192398176291,5510109141361176365,professional,negotiated,"[""11""]",9999-12-31,,,302.04
8383968989332204873,133265192398176291,5510109141361176365,professional,negotiated,"[""11""]",9999-12-31,,,302.04
8383968989332204873,133265192398176291,5510109141361176365,professional,negotiated,"[""11""]",9999-12-31,,,302.04
8383968989332204873,133265192398176291,12824164896915041918,professional,negotiated,"[""11""]",9999-12-31,,,211.43
8383968989332204873,133265192398176291,10103354169015091904,professional,negotiated,"[""11""]",9999-12-31,,,629.25
8383968989332204873,133265192398176291,2608579448427959442,professional,negotiated,"[""11""]",9999-12-31,,,1006.8
8383968989332204873,133265192398176291,5510109141361176365,professional,negotiated,"[""11""]",9999-12-31,,,302.04
8383968989332204873,133265192398176291,12824164896915041918,professional,negotiated,"[""11""]",9999-12-31,,,211.43
