name,city,state,district 
ALTERNATIVE LEARNING CTR - WEST,KATY,TX,CYPRESS-FAIRBANKS INDEPENDENT SCHOOL DISTRICT
ILLINOIS SCHOOL,PARK FOREST,IL,MATTESON ESD 162
DR. SAMUEL A. MUDD ELEMENTARY SCHOOL,WALDORF,MD,CHARLES COUNTY PUBLIC SCHOOLS
SUNNYSIDE ELEMENTARY SCHOOL,MINOT,ND,MINOT 1
SOLON MIDDLE SCHOOL,SOLON,IA,SOLON COMM SCHOOL DISTRICT
LINN GROVE ELEMENTARY SCHOOL,MARION,IA,LINN-MAR COMM SCHOOL DISTRICT
RIPPON MIDDLE,WOODBRIDGE,VA,PRINCE WILLIAM CO PUBLIC SCHOOLS
PLEASANT VALLEY JUNIOR HIGH SCHOOL,LECLAIRE,IA,PLEASANT VALLEY COMM SCHOOL DISTRICT
SADLER ELEMENTARY,ORLANDO,FL,ORANGE
HANOVER HIGHLANDSELEMENTARYSCHOOL,HANOVER PARK,IL,SCHAUMBURG CCSD 54
JAC-CEN-DEL MS/HS,OSGOOD,IN,JAC-CEN-DEL COMMUNITY SCH CORPORATION
CLAY CENTER COMMUNITY MIDDLE,CLAY CENTER,KS,CLAY CENTER
CLAY CENTER COMMUNITY HIGH,CLAY CENTER,KS,CLAY CENTER
HEUSNER ELEM,SALINA,KS,SALINA
DR. NATHAN A. PITTS-ASHBURTON ELEMENTARY/MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS
GRAND MEADOW ELEMENTARY,GRAND MEADOW,MN,GRAND MEADOW PUBLIC SCHOOL DISTRICT
MONTICELLO SENIOR HIGH,MONTICELLO,MN,MONTICELLO PUBLIC SCHOOL DISTRICT
CHELSEA HEIGHTS SCHOOL,ATLANTIC CITY,NJ,ATLANTIC CITY SCHOOL DISTRICT
SANDY RIDGE ELEMENTARY,SANDY RIDGE,NC,STOKES COUNTY SCHOOLS
MCLENNAN COUNTY CHALLENGE ACADEMY,WACO,TX,HALLSBURG INDEPENDENT SCHOOL DISTRICT
MARY ORR INT,MANSFIELD,TX,MANSFIELD INDEPENDENT SCHOOL DISTRICT
MARION MIDDLE,MARION,VA,SMYTH CO PUBLIC SCHOOLS
ADELA BRENES TEXIDOR,GUAYAMA,PR,PUERTO RICO DEPARTMENT OF EDUCATION
GLENWOOD ELEMENTARY SCHOOL,CHATHAM,IL,BALL CHATHAM CONSOLIDATED UNIT SCHOOL DISTRICT 5
HEATHROW ELEMENTARY SCHOOL,LAKE MARY,FL,SEMINOLE
GLEN PARK ACAD FOR EXCEL IN LRN,GARY,IN,GARY COMMUNITY SCHOOL CORPORATION
AIRLINE HIGH SCHOOL,BOSSIER CITY,LA,BOSSIER PARISH
FAIRVIEW HIGH SCHOOL,ASHLAND,KY,FAIRVIEW INDEPENDENT
HOMER JUNIOR HIGH SCHOOL,HOMER,LA,CLAIBORNE PARISH
COMO ELEMENTARY,COMO,MS,NORTH PANOLA SCHOOL DISTRICT
WAKONDAELEMENTARYSCHOOL,OMAHA,NE,OMAHA PUBLIC SCHOOLS
WEST CARTER COUNTY HIGH SCHOOL,OLIVE HILL,KY,CARTER COUNTY
WEST SIDE ELEMENTARY SCHOOL,GOUVERNEUR,NY,GOUVERNEUR CENTRAL SCHOOL DISTRICT
HALLIDAY ELEMENTARY SCHOOL,HALLIDAY,ND,HALLIDAY 19
CUB RUN ELEMENTARY SCHOOL,CUB RUN,KY,HART COUNTY
LANSBERRY EL,TRINITY,TX,TRINITY INDEPENDENT SCHOOL DISTRICT
SOUTH HOPKINS MIDDLE SCHOOL,NORTONVILLE,KY,HOPKINS COUNTY
EXPEDITION ACADEMY,GREEN RIVER,WY,SWEETWATER COUNTY SCHOOL DISTRICT #2
SANTA ROSA VIRTUAL INSTRUCTION COURSE OFFERINGS,MILTON,FL,SANTA ROSA
MAURICE BOWLING MIDDLE SCHOOL,OWENTON,KY,OWEN COUNTY
WORDEN ELEMENTARY SCHOOL,WORDEN,IL,EDWARDSVILLE CONSOLIDATED UNIT SCHOOL DISTRICT 7
CENTRAL ELEM,BURDEN,KS,CENTRAL
WASHINGTON COUNTY MIDDLE SCHOOL,SPRINGFIELD,KY,WASHINGTON COUNTY
SAFE HARBOR ACADEMY,VERSAILLES,KY,WOODFORD COUNTY
PS 159,BAYSIDE,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #26
ROCKFISH HOKE ELEMENTARY,RAEFORD,NC,HOKE COUNTY SCHOOLS
AUGUSTA CIRCLE ELEMENTARY,GREENVILLE,SC,GREENVILLE 01
SHALLOWATER MIDDLE,SHALLOWATER,TX,SHALLOWATER INDEPENDENT SCHOOL DISTRICT
STUART ELEMENTARY,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT
CONRAD SCHOOLS OF SCIENCE,WILMINGTON,DE,RED CLAY CONSOLIDATED SCHOOL DISTRICT
INWOOD ELEMENTARY SCHOOL,WINTER HAVEN,FL,POLK
FRANK E. BRIGHAM ACADEMY,WINTER HAVEN,FL,POLK
JOPPA VIEW ELEMENTARY,BALTIMORE,MD,BALTIMORE COUNTY PUBLIC SCHOOLS
EDWARDS ELEMENTARY SCHOOL,AMES,IA,AMES COMM SCHOOL DISTRICT
J F BURNS ELEMENTARY SCHOOL,KINGS MILLS,OH,KINGS LOCAL
METTER HIGH SCHOOL,METTER,GA,CANDLER COUNTY
YEA PROGRAM,YORKVILLE,IL,GRUNDY/KENDALL ROE
EVERGREEN JR HIGH SCHOOL,HILLSBORO,OR,HILLSBORO SD 1J
ANNA MIDDLE,ANNA,TX,ANNA INDEPENDENT SCHOOL DISTRICT
LAKE HILLS ELEMENTARY,BELLEVUE,WA,BELLEVUE SCHOOL DISTRICT
ASSABET VALLEY VOCATIONAL HIGH SCHOOL,MARLBOROUGH,MA,ASSABET VALLEY REGIONAL VOCATIONAL TECHNICAL
GAFFNEY LANE ELEMENTARY SCHOOL,OREGON CITY,OR,OREGON CITY SD 62
RENBERG ELEMENTARY - 42,RENNER,SD,SIOUX FALLS SCHOOL DISTRICT 49-5
FRIONA EL,FRIONA,TX,FRIONA INDEPENDENT SCHOOL DISTRICT
JONESBORO HIGH SCHOOL,JONESBORO,GA,CLAYTON COUNTY
MCCORMICK HIGH,MCCORMICK,SC,MCCORMICK 01
NEWTON-CONOVER MIDDLE,CONOVER,NC,NEWTON CONOVER CITY SCHOOLS
LICTON SPRINGS K-8,SEATTLE,WA,SEATTLE SCHOOL DISTRICT NO. 1
CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE MIDDLE,WASHINGTON,DC,CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY
RALPH B O'MALEY MIDDLE,GLOUCESTER,MA,GLOUCESTER
LAKESHORE ELEMENTARY SCHOOL,ROCHESTER,NY,GREECE CENTRAL SCHOOL DISTRICT
GREENWAY PARK ELEMENTARY,CHARLOTTE,NC,CHARLOTTE-MECKLENBURG SCHOOLS
URBAN COLLABORATIVE PROGRAM,PROVIDENCE,RI,URBAN COLLABORATIVE
LYMAN ELEMENTARY SCHOOL,LYMAN,WA,SEDRO-WOOLLEY SCHOOL DISTRICT
CENTER ELEMENTARY,HANOVER,MA,HANOVER
GOGEBICONTONAGON ISD SPECIAL EDUCATION,BERGLAND,MI,GOGEBIC-ONTONAGON INDEPENDENT SCHOOL DISTRICT
COLLEGE STREET ELEMENTARY,MANCHESTER,TN,MANCHESTER
UNICOI ELEMENTARY,UNICOI,TN,UNICOI COUNTY
PECATONICA HIGH,BLANCHARDVILLE,WI,PECATONICA AREA SCHOOL DISTRICT
ESSEX CAMPUS ACADEMY,FAIRFIELD,NJ,ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION
BIGGERSVILLE ELEMENTARY,CORINTH,MS,ALCORN SCHOOL DISTRICT
SPARTA HIGH,SPARTA,MO,SPARTA R-III
INTERAGENCY ALTERNATIVE SECONDARY CENTER,FAIRFAX,VA,FAIRFAX CO PUBLIC SCHOOLS
CARRIE L LOVEJOY EL,ALLEN,TX,LOVEJOY INDEPENDENT SCHOOL DISTRICT
IRVING ELEMENTARY,WEST ALLIS,WI,WEST ALLIS-WEST MILWAUKEE SCHOOL DISTRICT
MARION JR HIGH SCHOOL,MARION,IL,MARION CONSOLIDATED UNIT SCHOOL DISTRICT 2
ISONVILLE ELEMENTARY SCHOOL,ISONVILLE,KY,ELLIOTT COUNTY
B.R.I.C.K. PESHINE ACADEMY,NEWARK,NJ,NEWARK PUBLIC SCHOOL DISTRICT
PS 140,BROOKLYN,NY,NYC SPECIAL SCHOOLS - DISTRICT 75
FRANKFORT-SCHUYLER MIDDLE SCHOOL,FRANKFORT,NY,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT
TOLEDO TECHNOLOGY ACADEMY HIGH SCHOOL,TOLEDO,OH,TOLEDO CITY
MCCLEARY ELEMENTARY,NEW CASTLE,VA,CRAIG CO PUBLIC SCHOOLS
KIPP NASHVILLE COLLEGIATE HIGH SCHOOL,NASHVILLE,TN,DAVIDSON COUNTY
HARMONY SCHOOL OF ENDEAVOR-HOUSTON,HOUSTON,TX,HARMONY SCHOOL OF EXCELLENCE
SEBASTICOOK VALLEY MIDDLE SCHOOL,NEWPORT,ME,RSU 19
SHAWONO CENTER,GRAYLING,MI,MICHIGAN DEPARTMENT OF HUMAN SERVICES
READY 4 LEARNING SCHOOL,OSHKOSH,WI,OSHKOSH AREA SCHOOL DISTRICT
RAYMOND GRADE SCHOOL,RAYMOND,IL,PANHANDLE CONSOLIDATED UNIT SCHOOL DISTRICT 2
FORRESTON GRADE SCHOOL,FORRESTON,IL,FORRESTVILLE VALLEY CONSOLIDATED UNIT SCHOOL DISTRICT 221
IDEA CARVER COLLEGE PREPARATORY,SAN ANTONIO,TX,IDEA PUBLIC SCHOOLS
OAK PARK VIRTUAL ACADEMY,OAK PARK,MI,OAK PARK SCHOOL DISTRICT OF THE CITY OF
ANDERSON FIVE CHARTER SCHOOL,ANDERSON,SC,ANDERSON 05
DEVERS SCH,YORK,PA,YORK CITY SD
HOLLYWOOD ACADEMY OF ARTS & SCIENCE,HOLLYWOOD,FL,BROWARD
VENTURE TRANSITION,PLYMOUTH,MN,INTERMEDIATE SCHOOL DISTRICT 287
ACADEMIC RECOVERY OMBUDSMAN,SHREVEPORT,LA,CADDO PARISH
7TH GRADE ACADEMY,CAHOKIA,IL,CAHOKIA CONSOLIDATED UNIT SCHOOL DISTRICT 187
SHIELDS MIDDLE SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299
UNIVERSITY ACADEMY SABL INC,PANAMA CITY,FL,BAY
WACONIA LEARNING CENTER SS/AS,WACONIA,MN,WACONIA PUBLIC SCHOOL DISTRICT
WHITEWATER HIGH SCHOOL,FAYETTEVILLE,GA,FAYETTE COUNTY
CICELY L. TYSON COMMUNITY ELEMENTARY SCHOOL,EAST ORANGE,NJ,EAST ORANGE SCHOOL DISTRICT
DEAF/HARD OF HEARING (DIST 214),ARLINGTON HEIGHTS,IL,NW SUBURBAN SPECIAL EDUCATIONUC ORG
NORTH PLAINS ELEMENTARY SCHOOL,NORTH PLAINS,OR,HILLSBORO SD 1J
NEWPORT GRAMMAR SCHOOL,NEWPORT,TN,NEWPORT
BROCK ROAD ELEMENTARY,SPOTSYLVANIA,VA,SPOTSYLVANIA CO PUBLIC SCHOOLS
DEER PARK ELEMENTARY,NEWPORT NEWS,VA,NEWPORT NEWS CITY PUBLIC SCHOOLS
NEW TECH HIGH - ZION-BENTON EAST,ZION,IL,ZION-BENTON TWP HSD 126
CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE HIGH,WASHINGTON,DC,CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY
STONY BROOK SCHOOL,WESTFORD,MA,WESTFORD
KENT VOCATIONAL OPTIONS,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS
LINCOLN 7-8,LINCOLN,MT,LINCOLN K-12 SCHOOLS
NORWOOD-NORFOLK ELEMENTARY SCHOOL,NORWOOD,NY,NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT
CLEVELAND ECHS,SHELBY,NC,CLEVELAND COUNTY SCHOOLS
VALLEY VIEW EL,VALLEY VIEW,TX,VALLEY VIEW INDEPENDENT SCHOOL DISTRICT
WASHINGTON ELEMENTARY,MERRILL,WI,MERRILL AREA SCHOOL DISTRICT
OAKRIDGE GROUP HOME,LAKEWOOD,WA,CLOVER PARK SCHOOL DISTRICT
JOHN W. WYNN MIDDLE,TEWKSBURY,MA,TEWKSBURY
SUCCESS EDMOREMONTABELLAVESTABURG,VESTABURG,MI,BERRIEN SPRINGS PUBLIC SCHOOLS
CHELSEA HIGH,CHELSEA,MA,CHELSEA
OKALOOSA ONLINE NON FRANCHISED,CRESTVIEW,FL,OKALOOSA
EPHESUS ELEMENTARY,CHAPEL HILL,NC,CHAPEL HILL-CARRBORO CITY SCHOOLS
LAKESIDE CHARTER SCHOOL,KALAMAZOO,MI,LAKESIDE CHARTER SCHOOL - KALAMAZOO
SANDUSKY ELEMENTARY SCHOOL,SANDUSKY,MI,SANDUSKY COMMUNITY SCHOOL DISTRICT
SCHUYLERVILLE PREPARATORY HIGH SCHOOL,BRONX,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 8
LIBERTY AVENUE MIDDLE SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #19
LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL,BROOKLYN,NY,LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL
HILLSBORO MIDDLE SCHOOL,HILLSBORO,OH,HILLSBORO CITY
PROJECT SEARCH-AVERA MARSHALL,MARSHALL,MN,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE
BRENHAM MIDDLE,BRENHAM,TX,BRENHAM INDEPENDENT SCHOOL DISTRICT
MEADOW CREST EARLY CHILDHOOD EDUCATION CENTER,RENTON,WA,RENTON SCHOOL DISTRICT
FOREST HILLS CONSOLIDATED SCHOOL,JACKMAN,ME,RSU 82/MSAD 12
WAUBUN ALC,WAUBUN,MN,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH
WAYNE COUNTY AREA TECHNOLOGY CENTER,MONTICELLO,KY,KENTUCKY TECH SYSTEM
EAST COLOMA - NELSONELEMENTARYSCH,ROCK FALLS,IL,EAST COLOMA - NELSON CESD 20
RABUN COUNTY PRIMARY SCHOOL,TIGER,GA,RABUN COUNTY
LEE COUNTY MIDDLE SCHOOL EAST,LEESBURG,GA,LEE COUNTY
ERNESTO SERNA SCHOOL,EL PASO,TX,SOCORRO INDEPENDENT SCHOOL DISTRICT
DE ZAVALA EL,HOUSTON,TX,HOUSTON INDEPENDENT SCHOOL DISTRICT
ALEDO H S,ALEDO,TX,ALEDO INDEPENDENT SCHOOL DISTRICT
WASHINGTON EL,PORT ARTHUR,TX,PORT ARTHUR INDEPENDENT SCHOOL DISTRICT
WAYNE A COX EL,ROANOKE,TX,NORTHWEST INDEPENDENT SCHOOL DISTRICT
REEDS BROOK MIDDLE SCHOOL,HAMPDEN,ME,RSU 22
SUGARLOAF ELEMENTARY,HENDERSONVILLE,NC,HENDERSON COUNTY SCHOOLS
GRANT ELEMENTARY SCHOOL,LAKEWOOD,OH,LAKEWOOD CITY
LINCOLN ELEMENTARY,JANESVILLE,WI,JANESVILLE SCHOOL DISTRICT
ICHABOD CRANE ELEMENTARY SCHOOL,VALATIE,NY,KINDERHOOK CENTRAL SCHOOL DISTRICT
CRAIGMONT HIGH,MEMPHIS,TN,SHELBY COUNTY
MOUNT CARMEL ELEMENTARY SCHOOL,DOUGLASVILLE,GA,DOUGLAS COUNTY
BRADFORD GRADE SCHOOL,BRADFORD,IL,BRADFORD CONSOLIDATED UNIT SCHOOL DISTRICT 1
JOSEPH A. CUILLIER SR. CAREER CENTER,MARRERO,LA,JEFFERSON PARISH
BENIGNUS EL,KLEIN,TX,KLEIN INDEPENDENT SCHOOL DISTRICT
KOSCIUSKO SENIOR HIGH SCHOOL,KOSCIUSKO,MS,KOSCIUSKO SCHOOL DISTRICT
EARLY CHILDHOOD CTR.,INDEPENDENCE,MO,FORT OSAGE R-I
W R (BILL) FORT EL,ROYSE CITY,TX,ROYSE CITY INDEPENDENT SCHOOL DISTRICT
FAIRVIEW PRIMARY,JENNINGS,MO,JENNINGS
CORBIN AREA TECHNOLOGY CENTER,CORBIN,KY,KENTUCKY TECH SYSTEM
BROOKSIDE CHARTER ELEMENTARY,KANSAS CITY,MO,BROOKSIDE CHARTER SCH.
CAMDEN BIG PICTURE LEARNING ACADEMY,CAMDEN,NJ,CAMDEN CITY SCHOOL DISTRICT
TIERRA ANTIGUA ELEMENTARY,ALBUQUERQUE,NM,ALBUQUERQUE PUBLIC SCHOOLS
CENTRAL ELEMENTARY SCHOOL,CLEWISTON,FL,HENDRY
JARAMILLO ELEMENTARY,BELEN,NM,BELEN CONSOLIDATED SCHOOLS
ASTOR COLLEGIATE ACADEMY,BRONX,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #11
HARRY S TRUMAN HIGH SCHOOL,BRONX,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #11
GARDEN CITY ELEMENTARY SCHOOL,INDIANAPOLIS,IN,MSD WAYNE TOWNSHIP
EAGLE HEIGHTS ELEMENTARY SCHOOL,CLINTON,IA,CLINTON COMM SCHOOL DISTRICT
EXTENDED DAY LEARNING PROGRAM,TOWSON,MD,BALTIMORE COUNTY PUBLIC SCHOOLS
VIDANT HEALTH,GREENVILLE,NC,PITT COUNTY SCHOOLS
MONADNOCK REGIONAL HIGH SCHOOL,E. SWANZEY,NH,MONADNOCK REGIONAL SCHOOL DISTRICT
BEAVER AREA MS,BEAVER,PA,BEAVER AREA SD
BURNET EL,HOUSTON,TX,HOUSTON INDEPENDENT SCHOOL DISTRICT
GIDDINGS H S,GIDDINGS,TX,GIDDINGS INDEPENDENT SCHOOL DISTRICT
INTERLAKE SENIOR HIGH SCHOOL,BELLEVUE,WA,BELLEVUE SCHOOL DISTRICT
JEFFERSON ELEMENTARY,EVERETT,WA,EVERETT SCHOOL DISTRICT
OXFORD BRIDGES HIGH SCHOOL,OXFORD,MI,OXFORD COMMUNITY SCHOOLS
SARTELL EC SERVICE CENTER,SARTELL,MN,SARTELL-ST. STEPHEN SCHOOL DISTRICT
SHIRLEY TWP EL SCH,MOUNT UNION,PA,MOUNT UNION AREA SD
BROKEN BOW HS,BROKEN BOW,OK,BROKEN BOW
MERCEDES ACADEMIC ACADEMY,MERCEDES,TX,MERCEDES INDEPENDENT SCHOOL DISTRICT
CHARLOTTE HARBOR SCHOOL,PORT CHARLOTTE,FL,CHARLOTTE
GULFVIEW MIDDLE SCHOOL,NAPLES,FL,COLLIER
AVALON ELEMENTARY SCHOOL,NAPLES,FL,COLLIER
HAMMOCKS MIDDLE SCHOOL,MIAMI,FL,MIAMI-DADE
MILL CREEK ELEMENTARY SCHOOL,KISSIMMEE,FL,OSCEOLA
BROWNING-PEARCE ELEMENTARY SCHOOL,SAN MATEO,FL,PUTNAM
HALIFAX BEHAVIORAL SERVICES,DAYTONA BEACH,FL,VOLUSIA
TRION HIGH SCHOOL,TRION,GA,TRION CITY
PEACHTREE MIDDLE SCHOOL,ATLANTA,GA,DEKALB COUNTY
MIDVIEW WEST ELEMENTARY SCHOOL,GRAFTON,OH,MIDVIEW LOCAL
GAUGER-COBBS MIDDLE SCHOOL,NEWARK,DE,CHRISTINA SCHOOL DISTRICT
BLUE RIDGE ELEMENTARY SCHOOL,BLUE RIDGE,GA,FANNIN COUNTY
MCINTOSH HIGH SCHOOL,PEACHTREE CITY,GA,FAYETTE COUNTY
ARMUCHEE ELEMENTARY SCHOOL,ROME,GA,FLOYD COUNTY
ORANGE GROVE CHARTER,CHARLESTON,SC,CHARLESTON 01
ALTO PARK ELEMENTARY SCHOOL,ROME,GA,FLOYD COUNTY
GIDEONS ELEMENTARY SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS
PALMETTO ELEMENTARY SCHOOL,PALMETTO,GA,FULTON COUNTY
TAYLOR ELEMENTARY SCHOOL,LAWRENCEVILLE,GA,GWINNETT COUNTY
WALNUT GROVE ELEMENTARY SCHOOL,SUWANEE,GA,GWINNETT COUNTY
BIG WHITE ELEMENTARY - 08,WALL,SD,WALL SCHOOL DISTRICT 51-5
BUFORD ELEMENTARY SCHOOL,BUFORD,GA,BUFORD CITY
DACULA MIDDLE SCHOOL,DACULA,GA,GWINNETT COUNTY
HOPKINS ELEMENTARY SCHOOL,LILBURN,GA,GWINNETT COUNTY
JORDAN VOCATIONAL HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY
BLACKMON ROAD MIDDLE SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY
COPELAND ELEMENTARY SCHOOL,AUGUSTA,GA,RICHMOND COUNTY
WACONA ELEMENTARY SCHOOL,WAYCROSS,GA,WARE COUNTY
KAHAKAI ELEMENTARY SCHOOL,KAILUA-KONA,HI,HAWAII DEPARTMENT OF EDUCATION
ALIIOLANI ELEMENTARY SCHOOL,HONOLULU,HI,HAWAII DEPARTMENT OF EDUCATION
AUDUBON ELEMENTARY SCHOOL,AUDUBON,IA,AUDUBON COMM SCHOOL DISTRICT
JEFFERSON ELEMENTARY SCHOOL,CLINTON,IA,CLINTON COMM SCHOOL DISTRICT
CLEVELAND ELEMENTARY SCHOOL,CEDAR RAPIDS,IA,CEDAR RAPIDS COMM SCHOOL DISTRICT
NORTHEAST ELEMENTARY,ANKENY,IA,ANKENY COMM SCHOOL DISTRICT
SAYDEL HIGH SCHOOL,DES MOINES,IA,SAYDEL COMM SCHOOL DISTRICT
HIATT MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT
PLEASANT VALLEY HIGH SCHOOL,BETTENDORF,IA,PLEASANT VALLEY COMM SCHOOL DISTRICT
SOUTHEAST WARREN PRIMARY,MILO,IA,SOUTHEAST WARREN COMM SCHOOL DISTRICT
LIBERTY ELEMENTARY SCHOOL,BOISE,ID,BOISE INDEPENDENT DISTRICT
IRVING MIDDLE SCHOOL,POCATELLO,ID,POCATELLO DISTRICT
MIDDLETON HEIGHTS ELEMENTARY,MIDDLETON,ID,MIDDLETON DISTRICT
GREENHURST ELEMENTARY SCHOOL,NAMPA,ID,NAMPA SCHOOL DISTRICT
ORLAND CENTER SCHOOL,ORLAND PARK,IL,ORLAND SD 135
WOODROW WILSONELEMENTARYSCHOOL,CICERO,IL,CICERO SD 99
LINCOLN ELEMENTARY SCHOOL,DOLTON,IL,DOLTON SD 148
WALTER R SUNDLING JR HIGH SCH,PALATINE,IL,PALATINE CCSD 15
LINCOLN MIDDLE SCHOOL,SCHILLER PARK,IL,SCHILLER PARK SD 81
HARNEWELEMENTARYSCHOOL,OAK LAWN,IL,RIDGELAND SD 122
WESTFIELDELEMENTARYSCHOOL,GLEN ELLYN,IL,CCSD 89
TATE WOODSELEMENTARYSCHOOL,LISLE,IL,LISLE CONSOLIDATED UNIT SCHOOL DISTRICT 202
ADAMS ELEMENTARY SCHOOL,FORT WAYNE,IN,FORT WAYNE COMMUNITY SCHOOLS
CLIFTY CREEK ELEMENTARY SCHOOL,COLUMBUS,IN,BARTHOLOMEW CON SCHOOL CORPORATION
EASTWOOD ELEMENTARY SCHOOL,ELKHART,IN,ELKHART COMMUNITY SCHOOLS
SLATE RUN ELEMENTARY SCHOOL,NEW ALBANY,IN,NEW ALBANY-FLOYD CO CON SCH
OAK TRACE ELEMENTARY SCHOOL,WESTFIELD,IN,WESTFIELD-WASHINGTON SCHOOLS
DOUGLAS MACARTHURELEMENTARYSCHOOL,CEDAR LAKE,IN,CROWN POINT COMMUNITY SCHOOL CORPORATION
F WILLARD CRICHFIELD ELEMENTARY,LAPORTE,IN,LAPORTE COMMUNITY SCHOOL CORPORATION
ARGO COMMUNITY HIGH SCHOOL,SUMMIT,IL,ARGO CHSD 217
LAKESIDE ELEM,PITTSBURG,KS,PITTSBURG
NIAGARA ELEMENTARY SCHOOL,HENDERSON,KY,HENDERSON COUNTY
LEBANON ELEMENTARY SCHOOL,LEBANON,KY,MARION COUNTY
FRANKLIN-SIMPSON MIDDLE SCHOOL,FRANKLIN,KY,SIMPSON COUNTY
MINNIE RUFFIN ELEMENTARY SCHOOL,MONROE,LA,CITY OF MONROE SCHOOL DISTRICT
MANDEVILLE HIGH SCHOOL,MANDEVILLE,LA,ST. TAMMANY PARISH
MADISONVILLE ELEMENTARY SCHOOL,MADISONVILLE,LA,ST. TAMMANY PARISH
JOHN J DUGGAN MIDDLE,SPRINGFIELD,MA,SPRINGFIELD
SALEMWOOD,MALDEN,MA,MALDEN
WILLIAM F. STANLEY ELEMENTARY SCHOOL,WALTHAM,MA,WALTHAM
FARWELL ELEMENTARY SCHOOL,LEWISTON,ME,LEWISTON PUBLIC SCHOOLS
GARDINER AREA HIGH SCHOOL,GARDINER,ME,RSU 11/MSAD 11
SOLON ELEMENTARY SCHOOL,SOLON,ME,RSU 74/MSAD 74
H B EMERY JR MEMORIAL SCHOOL,LIMINGTON,ME,RSU 06/MSAD 06
STAR ELEMENTARY SCHOOL,HASTINGS,MI,HASTINGS AREA SCHOOL DISTRICT
ST JOSEPH HIGH SCHOOL,SAINT JOSEPH,MI,ST. JOSEPH PUBLIC SCHOOLS
BENDLE HIGH SCHOOL,BURTON,MI,BENDLE PUBLIC SCHOOLS
JONESVILLE HIGH SCHOOL,JONESVILLE,MI,JONESVILLE COMMUNITY SCHOOLS
MARQUETTE SENIOR HIGH SCHOOL,MARQUETTE,MI,MARQUETTE AREA PUBLIC SCHOOLS
HOLTON ELEMENTARY SCHOOL,HOLTON,MI,HOLTON PUBLIC SCHOOLS
FOREST GROVE ELEMENTARY SCHOOL,HUDSONVILLE,MI,HUDSONVILLE PUBLIC SCHOOL DISTRICT
SWAN VALLEY MIDDLE SCHOOL,SAGINAW,MI,SWAN VALLEY SCHOOL DISTRICT
AUBURN SENIOR HIGH,AUBURN,MA,AUBURN
BOSTON LATIN ACADEMY,DORCHESTER,MA,BOSTON
CENTRAL ELEMENTARY SCHOOL,WHITE PIGEON,MI,WHITE PIGEON COMMUNITY SCHOOLS
WHITMORE LAKE ELEMENTARY SCHOOL,WHITMORE LAKE,MI,WHITMORE LAKE PUBLIC SCHOOL DISTRICT
STEVENS T MASON ELEMENTARY SCHOOL,GROSSE POINTE WOODS,MI,GROSSE POINTE PUBLIC SCHOOLS
THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,MIDLAND,VA,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM
COPPER CREEK ELEMENTARY,CASTLEWOOD,VA,RUSSELL CO PUBLIC SCHOOLS
STERLING MONTESSORI ACADEMY,MORRISVILLE,NC,STERLING MONTESSORI ACADEMY
MT PLEASANT ELEMENTARY SCHOOL,ROLLA,ND,MT PLEASANT 4
LAUREL HILL PRIMARY,MT. PLEASANT,SC,CHARLESTON 01
DELORES MOYEELEMENTARYSCHOOL,O FALLON,IL,O FALLON CCSD 90
PS 212 MIDTOWN WEST,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2
CENTRAL ACADEMY MIDDLE,FINCASTLE,VA,BOTETOURT CO PUBLIC SCHOOLS
CREEDS ELEMENTARY,VIRGINIA BEACH,VA,VA BEACH CITY PUBLIC SCHOOLS
MCCONNELL MIDDLE SCHOOL,LOGANVILLE,GA,GWINNETT COUNTY
GUNSAULUSELEMENTARYSCHOLASTIC ACADEMY,CHICAGO,IL,CITY OF CHICAGO SD 299
