Orange County Jail,Census,430,420,421,433,390,382,392,432,459,431,390,386,390,-9.30%
,Boarded Out,4,4,3,2,4,4,3,4,3,3,3,3,4,0.00%
,Boarded In,2,1,0,1,0,0,0,0,0,0,0,0,0,-100.00%
,In House,428,417,419,431,386,378,389,429,456,428,387,383,386,-9.80%
,- Sentenced,15,15,17,21,25,32,37,39,41,40,39,41,45,200.00%
,- Civil,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,174,150,153,185,152,144,143,177,203,185,154,153,161,-7.50%
,- Technical Parole Violators,39,45,33,24,19,19,20,17,16,13,13,15,13,-66.70%
,- State Readies,4,11,16,13,13,8,12,9,12,15,11,10,7,75.00%
,- Other Unsentenced **,195,195,199,188,178,174,178,187,185,174,169,164,160,-17.90%
