Herkimer County Jail,Census,46,43,41,43,40,34,36,36,36,41,47,42,46,0.00%
,Boarded Out,19,13,1,0,0,0,0,0,0,0,0,0,0,-100.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,26,30,41,43,40,34,36,36,36,41,47,42,46,76.90%
,- Sentenced,1,3,5,7,8,10,8,8,7,10,12,10,12,1100.00%
,- Civil,1,1,1,0,0,0,0,0,0,0,0,0,0,-100.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,1,4,3,1,1,1,1,1,2,1,0,1,0,-100.00%
,- State Readies,6,6,4,2,2,1,1,3,1,1,0,0,2,-66.70%
,- Other Unsentenced **,17,17,27,32,28,22,26,24,26,29,35,31,32,88.20%
