Livingston County Jail,Census,119,118,110,113,105,102,102,104,108,103,106,105,110,-7.60%
,Boarded Out,0,2,2,1,1,2,3,3,3,3,2,2,2,0.00%
,Boarded In,3,4,3,2,2,2,4,5,5,4,5,5,6,100.00%
,In House,122,121,112,114,105,102,103,105,110,104,109,108,113,-7.40%
,- Sentenced,16,13,12,13,13,13,15,17,17,17,17,20,19,18.80%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00%
,- Federal,62,59,61,60,57,57,57,58,60,53,51,51,58,-6.50%
,- Technical Parole Violators,0,0,0,0,1,2,3,1,0,1,0,0,0,0.00%
,- State Readies,12,10,8,5,2,2,1,1,3,2,3,2,1,-91.70%
,- Other Unsentenced **,32,38,31,35,32,28,27,27,29,31,37,34,34,6.30%
