Putnam County Jail,Census,49,53,55,60,63,60,64,65,62,59,56,55,50,2.00%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,49,54,55,60,63,60,64,65,62,59,56,55,50,2.00%
,- Sentenced,6,6,3,5,7,8,9,9,9,10,10,9,7,16.70%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,25,33,32,34,35,33,32,32,30,29,27,27,28,12.00%
,- Technical Parole Violators,1,0,0,1,0,0,0,1,0,0,0,0,0,-100.00%
,- State Readies,4,2,2,1,1,0,0,0,1,1,0,2,0,-100.00%
,- Other Unsentenced **,12,13,18,19,19,19,22,22,21,20,18,17,15,25.00%
