Clinton County Jail,Census,150,150,139,126,130,129,132,121,124,117,108,120,134,-10.70%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,150,150,139,126,130,129,132,121,124,117,108,120,134,-10.70%
,- Sentenced,25,30,35,27,27,28,22,25,29,28,23,26,29,16.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,48,44,39,34,31,34,47,37,35,32,33,38,49,2.10%
,- Technical Parole Violators,13,12,9,7,8,6,3,3,4,4,6,7,4,-69.20%
,- State Readies,18,15,11,8,6,5,5,3,3,4,4,1,2,-88.90%
,- Other Unsentenced **,46,50,46,51,58,55,54,52,53,49,42,48,49,6.50%
