Essex County Jail,Census,55,55,52,53,51,57,57,53,49,47,49,50,53,-3.60%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,0,0,0,0,0,3,2,2,2,1,0,0,0.00%
,In House,55,55,52,53,51,57,59,55,51,48,49,50,53,-3.60%
,- Sentenced,5,6,8,11,9,10,11,10,9,8,10,8,8,60.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,30,33,31,28,29,34,33,31,30,26,21,24,31,3.30%
,- Technical Parole Violators,3,1,1,0,1,1,1,1,0,0,1,1,0,-100.00%
,- State Readies,4,1,3,3,2,1,1,1,1,0,1,1,1,-75.00%
,- Other Unsentenced **,14,14,9,11,10,12,13,12,10,13,16,15,12,-14.30%
