Cattaraugus County Jail,Census,110,98,98,101,107,100,92,90,99,97,91,95,100,-9.10%
,Boarded Out,0,0,0,0,0,1,1,2,1,1,1,0,0,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,110,98,98,101,106,99,92,88,98,96,90,95,100,-9.10%
,- Sentenced,25,25,30,25,29,28,25,24,24,23,23,27,28,12.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,31,32,34,39,38,33,30,31,31,30,28,29,29,-6.50%
,- Technical Parole Violators,6,5,4,7,6,5,5,5,6,5,4,4,3,-50.00%
,- State Readies,9,1,2,0,1,0,1,1,1,0,1,1,1,-88.90%
,- Other Unsentenced **,39,35,28,30,33,33,31,27,35,38,34,34,40,2.60%
