Broome County Jail,Census,423,421,399,378,364,378,382,409,384,398,410,364,317,-25.10%
,Boarded Out,1,1,1,1,1,1,1,1,0,0,0,0,0,-100.00%
,Boarded In,3,3,5,4,3,3,2,2,2,4,9,12,8,166.70%
,In House,425,423,403,381,366,380,384,409,387,402,419,375,325,-23.50%
,- Sentenced,49,43,42,47,49,60,62,63,65,59,51,48,43,-12.20%
,- Civil,1,0,0,1,1,0,0,0,0,0,0,0,0,-100.00%
,- Federal,16,12,9,11,18,19,21,22,25,27,31,25,24,50.00%
,- Technical Parole Violators,24,32,25,16,13,15,13,7,5,8,13,9,9,-62.50%
,- State Readies,61,60,50,29,12,13,14,33,17,35,56,32,10,-83.60%
,- Other Unsentenced **,273,276,277,278,274,272,274,285,274,272,268,263,238,-12.80%
