Chemung County Jail,Census,123,127,125,129,125,129,140,136,135,130,131,127,123,0.00%
,Boarded Out,1,3,3,3,2,2,2,2,2,2,2,0,0,-100.00%
,Boarded In,2,1,2,2,3,2,3,2,2,1,1,1,0,-100.00%
,In House,124,125,124,128,126,129,140,136,135,129,130,128,123,-0.80%
,- Sentenced,17,20,25,30,36,41,45,40,41,36,36,32,32,88.20%
,- Civil,1,2,1,0,2,1,0,0,0,0,0,0,0,-100.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,20,16,10,5,2,4,6,5,6,9,9,9,6,-70.00%
,- State Readies,8,8,8,8,6,2,3,2,3,4,6,4,4,-50.00%
,- Other Unsentenced **,78,79,80,84,79,81,86,90,86,80,79,83,81,3.80%
