Montgomery County Jail,Census,73,69,70,72,79,82,62,74,71,78,77,86,80,9.60%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,6,10,6,3,5,2,2,3,5,4,1,1,1,-83.30%
,In House,80,79,76,75,84,83,64,77,76,82,78,87,81,1.30%
,- Sentenced,13,11,18,20,22,21,15,15,16,18,16,14,17,30.80%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,22,17,15,15,15,12,13,15,14,17,18,26,25,13.60%
,- Technical Parole Violators,4,4,4,2,2,3,3,4,3,2,1,0,0,-100.00%
,- State Readies,7,3,2,3,1,1,0,0,0,0,1,1,1,-85.70%
,- Other Unsentenced **,34,44,37,35,44,45,33,43,42,45,42,46,38,11.80%
Nassau County CF,Census,751,774,774,766,751,756,763,782,783,749,744,773,772,2.80%
,Boarded Out,17,17,14,15,15,17,16,15,15,12,12,13,13,-23.50%
,Boarded In,4,4,5,4,4,6,5,5,5,5,6,8,8,100.00%
,In House,738,762,765,755,740,745,753,772,774,742,737,768,767,3.90%
,- Sentenced,156,156,155,152,149,155,157,177,185,173,162,177,191,22.40%
,- Civil,0,0,0,0,0,1,1,3,2,2,1,1,1,0.00%
,- Federal,24,24,22,22,22,22,23,23,21,19,17,16,16,-33.30%
,- Technical Parole Violators,26,30,24,21,22,22,23,17,9,6,5,7,3,-88.50%
,- State Readies,4,10,11,6,8,4,4,4,3,2,4,5,8,100.00%
,- Other Unsentenced **,528,543,551,554,539,540,545,548,554,540,549,561,548,3.80%
