Fulton County Jail,Census,82,84,72,61,59,62,68,69,64,68,72,71,73,-11.00%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,22,12,0,0,1,2,1,1,2,2,1,1,1,-95.50%
,In House,104,96,72,61,59,64,69,70,66,70,73,72,74,-28.80%
,- Sentenced,21,18,18,14,15,16,16,20,21,22,22,23,20,-4.80%
,- Civil,0,0,0,1,2,1,1,1,0,0,0,0,1,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,10,13,9,7,5,5,7,4,1,3,3,2,1,-90.00%
,- State Readies,13,13,7,2,2,2,0,2,1,1,2,0,1,-92.30%
,- Other Unsentenced **,60,51,37,37,36,41,45,43,43,44,46,47,50,-16.70%
