Oneida County Jail,Census,306,332,305,304,306,306,319,321,323,301,277,274,267,-12.70%
,Boarded Out,2,2,1,1,1,1,1,1,0,1,0,0,0,-100.00%
,Boarded In,10,11,9,9,6,3,4,7,6,9,19,30,36,260.00%
,In House,314,342,312,312,310,308,323,327,329,310,296,304,303,-3.50%
,- Sentenced,39,42,43,43,51,66,68,63,58,52,45,55,57,46.20%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,50,53,52,52,52,45,46,55,63,63,55,53,51,2.00%
,- Technical Parole Violators,32,39,23,18,14,14,16,12,14,14,15,10,10,-68.80%
,- State Readies,40,44,20,8,7,5,5,6,5,10,15,8,7,-82.50%
,- Other Unsentenced **,153,165,176,190,187,178,189,192,189,171,167,178,177,15.70%
Onondaga County CF,Census,262,266,253,248,221,179,197,172,132,137,126,124,122,-53.40%
,Boarded Out,0,0,0,1,0,0,0,1,0,0,0,2,1,0.00%
,Boarded In,0,0,0,0,0,24,0,0,0,0,0,3,6,0.00%
,In House,262,266,252,247,221,203,197,171,132,137,126,124,127,-51.50%
,- Sentenced,57,54,59,62,65,72,76,79,63,59,54,67,77,35.10%
,- Civil,1,0,0,0,0,0,0,0,0,0,0,0,0,-100.00%
,- Federal,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
,- Technical Parole Violators,48,41,32,18,20,12,13,6,0,6,4,5,3,-93.80%
,- State Readies,48,75,55,32,16,6,7,8,2,18,14,12,1,-97.90%
,- Other Unsentenced **,107,96,106,134,120,113,101,78,66,54,54,41,45,-57.90%
