Monroe County Jail,Census,768,788,780,763,723,736,727,699,696,696,739,783,762,-0.80%
,Boarded Out,4,5,5,3,4,3,7,8,7,8,8,8,9,125.00%
,Boarded In,2,3,3,2,3,4,4,3,5,5,4,3,4,100.00%
,In House,766,786,778,761,722,737,725,695,694,694,736,778,757,-1.20%
,- Sentenced,85,88,100,92,86,97,99,96,86,75,64,70,77,-9.40%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,49,49,56,62,65,71,74,82,90,88,92,88,93,89.80%
,- Technical Parole Violators,140,140,128,114,76,71,72,45,51,44,51,51,59,-57.90%
,- State Readies,72,83,74,51,22,22,22,21,18,23,32,37,30,-58.30%
,- Other Unsentenced **,421,426,421,443,473,476,458,451,450,463,497,533,499,18.50%
