Columbia County Jail,Census,44,35,35,38,34,38,41,41,39,40,48,49,41,-6.80%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,0,0,0,0,0,0,1,1,0,0,0,1,0.00%
,In House,44,35,35,38,34,38,42,42,40,40,48,49,42,-4.50%
,- Sentenced,4,6,6,5,6,5,3,2,4,5,6,8,5,25.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,1,0,0,0,0,1,1,1,1,1,1,1,1,0.00%
,- Technical Parole Violators,7,4,4,4,2,3,6,3,1,1,3,4,1,-85.70%
,- State Readies,8,2,2,2,1,0,1,1,1,0,2,1,0,-100.00%
,- Other Unsentenced **,23,22,23,27,25,29,30,35,33,33,35,35,35,52.20%
