Allegany County Jail,Census,69,67,63,63,67,65,68,68,65,63,62,55,55,-20.30%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,69,67,63,63,67,65,68,68,65,63,61,55,54,-21.70%
,- Sentenced,5,6,6,5,7,7,8,11,11,7,5,4,4,-20.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
,- Federal,36,34,34,35,32,30,29,25,23,22,21,18,17,-52.80%
,- Technical Parole Violators,1,1,1,2,3,3,4,4,2,2,2,2,2,100.00%
,- State Readies,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Other Unsentenced **,27,25,22,21,25,25,26,28,29,32,34,31,30,11.10%
