Cayuga County Jail,Census,163,167,158,152,149,140,151,155,159,150,143,145,131,-19.60%
,Boarded Out,1,2,1,1,1,1,1,1,1,1,1,1,1,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,1,1,1,2,0.00%
,In House,162,165,157,151,148,139,150,153,158,150,143,145,132,-18.50%
,- Sentenced,12,14,20,21,27,30,33,34,32,30,30,30,28,133.30%
,- Civil,0,0,0,0,0,0,0,1,2,2,3,4,3,0.00%
,- Federal,38,36,36,34,31,24,27,32,29,28,25,23,20,-47.40%
,- Technical Parole Violators,14,17,12,10,5,3,4,2,4,3,4,5,1,-92.90%
,- State Readies,22,20,8,4,4,2,2,1,4,5,3,3,3,-86.40%
,- Other Unsentenced **,76,79,81,82,81,80,84,84,88,82,79,81,76,0.00%
