Chenango County Jail,Census,83,80,72,87,92,101,102,102,94,94,92,93,95,14.50%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00%
,In House,83,81,72,87,93,101,102,102,94,94,92,94,95,14.50%
,- Sentenced,19,16,12,14,21,24,24,30,27,23,24,24,26,36.80%
,- Civil,2,2,1,2,4,3,3,1,1,3,3,3,0,-100.00%
,- Federal,10,16,17,16,16,15,17,18,18,15,15,19,17,70.00%
,- Technical Parole Violators,5,3,2,3,0,1,1,1,1,1,0,1,2,-60.00%
,- State Readies,22,13,6,8,5,5,6,6,5,5,6,4,6,-72.70%
,- Other Unsentenced **,26,32,35,44,47,52,51,46,42,46,43,43,44,69.20%
