Ontario County Jail,Census,96,97,84,84,91,92,92,86,76,70,75,84,87,-9.40%
,Boarded Out,2,2,2,2,2,3,2,1,1,1,9,5,4,100.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,94,95,82,82,89,89,89,84,75,69,66,79,83,-11.70%
,- Sentenced,18,17,18,21,22,24,28,26,23,19,14,18,21,16.70%
,- Civil,1,1,1,1,1,0,0,0,0,1,2,2,2,100.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,8,8,9,13,14,12,7,4,2,1,1,3,3,-62.50%
,- State Readies,16,20,6,3,2,2,2,2,3,4,1,1,2,-87.50%
,- Other Unsentenced **,52,48,48,44,50,51,53,51,46,43,48,55,55,5.80%
