Onondaga County Jail,Census,348,350,353,344,365,355,364,350,392,416,424,429,397,14.10%
,Boarded Out,0,0,0,1,1,0,1,1,1,1,1,1,1,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,348,350,353,343,364,355,364,349,391,415,423,428,396,13.80%
,- Sentenced,20,17,23,23,26,17,27,24,42,44,45,42,24,20.00%
,- Civil,1,1,2,1,1,2,1,0,0,0,0,1,0,-100.00%
,- Federal,5,6,3,5,2,0,0,0,0,1,0,0,1,-80.00%
,- Technical Parole Violators,13,11,13,14,11,11,10,8,14,12,11,12,7,-46.20%
,- State Readies,13,11,14,12,12,7,12,11,20,21,24,23,12,-7.70%
,- Other Unsentenced **,296,304,299,289,314,317,314,307,315,336,343,349,352,18.90%
