Chautauqua County Jail,Census,185,180,178,188,195,206,210,208,203,195,189,187,167,-9.70%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,0,0,0,0,1,1,1,1,1,0,0,0,0.00%
,In House,185,180,178,188,196,207,211,210,204,196,190,187,167,-9.70%
,- Sentenced,5,7,7,13,16,20,23,25,26,24,21,20,17,240.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,56,63,59,51,51,49,54,54,52,52,53,54,50,-10.70%
,- Technical Parole Violators,13,11,15,13,12,14,13,5,3,7,6,6,6,-53.80%
,- State Readies,15,9,3,2,0,1,1,2,1,2,1,1,1,-93.30%
,- Other Unsentenced **,96,89,94,109,117,122,120,123,122,112,109,106,93,-3.10%
