Cortland County Jail,Census,52,55,50,56,55,52,50,49,50,51,53,54,52,0.00%
,Boarded Out,0,0,1,5,2,0,0,0,1,1,1,4,6,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,52,55,49,51,54,52,50,49,49,50,52,50,46,-11.50%
,- Sentenced,5,10,10,13,17,20,24,21,19,20,21,16,13,160.00%
,- Civil,1,0,0,0,0,0,0,0,0,0,0,0,2,100.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,5,7,4,3,1,0,2,3,4,3,3,3,2,-60.00%
,- State Readies,13,10,5,3,2,1,1,1,2,0,1,1,1,-92.30%
,- Other Unsentenced **,28,29,31,33,34,30,24,24,25,27,27,30,28,0.00%
